halo_idx,r_scaled,m_scaled
6,0.0011003054494530783,1.2729752434823878e-06
6,0.0013210387147392024,7.213526379733531e-06
6,0.0015860534787928678,2.0367603895718205e-05
6,0.001904233092886742,3.649195697982845e-05
6,0.0022862430053776014,6.15271367683154e-05
6,0.002744888269804314,0.000103959644884395
6,0.0032955427730067214,0.00016081920575994167
6,0.003956664571083289,0.0002520490982095128
6,0.00475041460735845,0.00037467904666498285
6,0.005703399551917563,0.0005664739833496626
6,0.006847563662848714,0.0008478015121592703
6,0.008221259564569927,0.0012381805868272027
6,0.009870533835959136,0.0017643436874665898
6,0.011850670501474531,0.0025030936537675354
6,0.014228044163416009,0.003563057706507204
6,0.017082344892715387,0.004918776340815946
6,0.02050924945706801,0.006742949864726209
6,0.024623628426541026,0.009100924340736751
6,0.029563396659520607,0.012275300272900667
6,0.0354941362381063,0.016469753700175133
6,0.042614646814730386,0.02192784721914645
6,0.05116360941880182,0.029116338419091493
6,0.06142758709559115,0.038426030699759355
6,0.0737506305604739,0.05050826306073186
6,0.0885458108521064,0.06634704536522089
6,0.10630906556152198,0.08614223472645317
6,0.1276358227656924,0.11052225658962787
6,0.1532409599033448,0.14115216257321994
6,0.18398276661879706,0.1802006781670422
6,0.2208917148134356,0.2288554892732637
6,0.26520500028308136,0.28912874542674893
6,0.3184080137842777,0.3603928698324611
6,0.3822841316484654,0.43984137640360277
6,0.4589744949360234,0.5432247878277814
6,0.5510497809401385,0.651925416843986
6,0.6615963728365803,0.7649104562046711
6,0.7943198159043792,0.8972396273653146
6,0.9536690281919291,1.0324987632113733
6,1.1449854291964723,1.1227357349710285
6,1.3746819853820282,1.1810770390299885
