halo_id,vvir
000,964.6495239413866
001,866.7464889107932
002,961.2411924814011
003,865.795519294603
004,989.9453896063123
005,1031.2650147978188
006,1029.632830425918
007,1039.7269381372312
008,1084.196556088657
009,944.6260688177978
010,991.5034043805932
011,1048.0533099616516
012,1067.282095406364
013,862.519006728003
014,941.876028277297
015,1074.0411776426556
016,1018.7476946173623
017,1039.5383054403178
018,982.609086376475
019,983.0312559442857
020,961.0205255567568
021,964.2111162339255
022,1012.1232817202699
023,852.9577869820603
024,894.737878756328
025,938.5315100147296
026,974.410590572172
027,947.1329381551724
028,862.1076687392974
029,876.5418204218397
030,829.9207151020029
031,913.2015116484881
032,1239.2060349003198
