halo_id,delta_J_tot
0,0.14801897313213302
1,0.17128741026361516
2,0.527474301135238
3,0.3845333420194597
4,0.2930885906748131
5,0.425944260732702
6,0.39028498473784956
7,0.48133702058051486
8,0.3271505000555709
9,0.2599009709805647
10,0.2768087663089778
11,1.3767792749724566
12,0.3020870080237207
13,0.14245065060032247
14,0.8047700021980644
15,0.3653845921063258
16,0.7231566645266382
17,0.3328684768867293
18,0.3175532885069423
19,0.1996099725903854
20,0.39572166995694286
21,0.24943757601577876
22,0.23595534141711544
23,
24,0.5697608575621818
25,0.4912777916491692
26,0.574867145758417
27,0.8852174666891457
28,
29,
30,0.1419867062894184
31,0.8546963329273949
32,0.749966196169095
