halo_id,r_scaled,delta_J
30,0.001100305449453,32.08513119317468
30,0.0013210387147392,15.464492855546592
30,0.0015860534787928,3.1036155996658796
30,0.0019042330928867,3.360440217926115
30,0.0022862430053776,0.120930285532671
30,0.0027448882698043,4.351737897817992
30,0.0032955427730067,2.878495583823554
30,0.0039566645710832,1.4500773336880648
30,0.0047504146073584,0.7967630538839867
30,0.0057033995519175,0.5203706138640337
30,0.0068475636628487,0.6078022162349325
30,0.0082212595645699,0.5312663218194411
30,0.0098705338359591,0.19161573170809115
30,0.0118506705014745,0.2697714640127627
30,0.014228044163416,0.041341355227626914
30,0.0170823448927153,0.25173032490427333
30,0.020509249457068,0.1365735380623117
30,0.024623628426541,0.05204697448953955
30,0.0295633966595206,0.029177222176052155
30,0.0354941362381063,0.09545757502678022
30,0.0426146468147303,0.10439897413444035
30,0.0511636094188018,0.051366783452620496
30,0.0614275870955911,0.10629116381464768
30,0.0737506305604739,0.12685618359786832
30,0.0885458108521064,0.09573729283853169
30,0.1063090655615219,0.22915850971347757
30,0.1276358227656924,0.39429732302137027
30,0.1532409599033448,0.3325701507119925
30,0.183982766618797,0.0375235999352756
30,0.2208917148134356,0.1938152290193002
30,0.2652050002830813,0.2825642173439039
30,0.3184080137842777,0.14405190282900618
30,0.3822841316484654,0.003400674286473528
30,0.4589744949360234,0.05959041971704953
30,0.5510497809401385,0.08413553305823762
30,0.6615963728365803,0.27208344824996855
30,0.7943198159043792,0.23776726139621548
30,0.9536690281919292,1.3212945298739247
30,1.1449854291964725,1.4688224847929965
30,1.3746819853820282,1.0497667434460127
