r_scaled,slope_Q_r,slope_Q_tot
0.001100305449453,-0.9689951766916509,-0.7899686287837455
0.0013210387147392,-1.004118667529965,-0.8138729276421046
0.0015860534787928,-1.109735269832984,-1.0454292457179002
0.0019042330928867,-1.3207310959923917,-1.1920330947253281
0.0022862430053776,-1.3254950857909749,-1.210730170839369
0.0027448882698043,-1.45200829011254,-1.391014435293692
0.0032955427730067,-1.5109593702668493,-1.4486803817970304
0.0039566645710832,-1.5600400764902012,-1.4984088616454596
0.0047504146073584,-1.6340207111408311,-1.5653049248295385
0.0057033995519175,-1.7061669487073592,-1.6493762097624671
0.0068475636628487,-1.7654674160201973,-1.6840575969126017
0.0082212595645699,-1.8210400851928632,-1.7217071084854103
0.0098705338359591,-1.8510066287927476,-1.7458247464240704
0.0118506705014745,-1.8809171071845958,-1.7603458802850478
0.014228044163416,-1.9055317813073547,-1.7709709389712205
0.0170823448927153,-1.9244641556208877,-1.781887739346078
0.020509249457068,-1.9435041956029278,-1.793789291106975
0.024623628426541,-1.9541945235736389,-1.8075610601919117
0.0295633966595206,-1.9587055553209465,-1.8200166058664553
0.0354941362381063,-1.953988410141538,-1.8262995243406883
0.0426146468147303,-1.9395159865862155,-1.8268486959479433
0.0511636094188018,-1.920078347420534,-1.824785335750606
0.0614275870955911,-1.898096719310336,-1.8217224935645502
0.0737506305604739,-1.8700636469668133,-1.8164256768687903
0.0885458108521064,-1.8376242843148094,-1.8079528259974036
0.1063090655615219,-1.8047061390379322,-1.799536395856018
0.1276358227656924,-1.7727263498378008,-1.792578142706975
0.1532409599033448,-1.7421039694635376,-1.787201928558163
0.183982766618797,-1.714158297600934,-1.7837364189848897
0.2208917148134356,-1.6910425475981445,-1.7835183244562471
0.2652050002830813,-1.673926397411074,-1.7882222561316974
0.3184080137842777,-1.6634531918664446,-1.79852068761498
0.3822841316484654,-1.6589440161980291,-1.813543228044474
0.4589744949360234,-1.6584256009721856,-1.8316243485617383
0.5510497809401385,-1.6590828186099553,-1.849957904979015
0.6615963728365803,-1.6580896146706794,-1.866909454389852
0.7943198159043792,-1.6531498914802434,-1.88061422832886
0.9536690281919292,-1.6415584457645922,-1.8902321834705602
1.1449854291964725,-1.6188566838037477,-1.8923964726085898
1.3746819853820282,-1.577996441453359,-1.8844311518243815
