r_scaled,slope_Q_r,slope_Q_tot
0.001100305449453,-0.8179786633910092,-0.80744293284428
0.0013210387147392,-0.8534586655980341,-0.8266271985009954
0.0015860534787928,-0.7274705862662244,-0.9205339900020475
0.0019042330928867,-1.1171153912780276,-1.1189574045537238
0.0022862430053776,-1.516425266931745,-1.4216708327703627
0.0027448882698043,-1.6555412496256663,-1.5812560520905763
0.0032955427730067,-1.710838421259312,-1.679256628688267
0.0039566645710832,-1.8021093322291772,-1.7969261977632267
0.0047504146073584,-1.8694369714221488,-1.8749608158654874
0.0057033995519175,-1.9338369803707063,-1.9303059048788422
0.0068475636628487,-2.0047788341487225,-1.9879287582378644
0.0082212595645699,-2.0442332053838035,-2.0029932134644506
0.0098705338359591,-2.05917395691366,-2.003862963822888
0.0118506705014745,-2.0617507341846024,-1.9891654774055045
0.014228044163416,-2.0457790520820107,-1.9641985346311883
0.0170823448927153,-2.012677474531059,-1.9261649883679564
0.020509249457068,-1.98199136512461,-1.8888627677989165
0.024623628426541,-1.9443978317455266,-1.849671134292039
0.0295633966595206,-1.9072617963304719,-1.8137164322999464
0.0354941362381063,-1.870240555002063,-1.7791252022296693
0.0426146468147303,-1.8310538651944273,-1.7465367438896486
0.0511636094188018,-1.790776329573818,-1.7158996511935665
0.0614275870955911,-1.7526432963512641,-1.6887442782165287
0.0737506305604739,-1.7177470610669983,-1.665752945890103
0.0885458108521064,-1.6870404377753019,-1.6486348939579025
0.1063090655615219,-1.662357868111326,-1.6389885270514872
0.1276358227656924,-1.6443057506297172,-1.6370273321290538
0.1532409599033448,-1.6324084306463176,-1.6422342635636733
0.183982766618797,-1.6274531874268297,-1.655230789059533
0.2208917148134356,-1.6297148352452102,-1.6759542368518785
0.2652050002830813,-1.6380592086382655,-1.7029947993083605
0.3184080137842777,-1.6512378983235538,-1.735156670587228
0.3822841316484654,-1.6680823910650822,-1.7713682853828459
0.4589744949360234,-1.6876062250687887,-1.8101090234944102
0.5510497809401385,-1.708488659894093,-1.8505214884892263
0.6615963728365803,-1.7292110202884583,-1.890892294972641
0.7943198159043792,-1.7468374032214542,-1.9286184965742739
0.9536690281919292,-1.758284525697189,-1.9624863293121177
1.1449854291964725,-1.756813971068888,-1.9868232421025391
1.3746819853820282,-1.7351520429360339,-1.9951081960458046
