r_scaled,m_scaled,Q_r,Q_tot
0.001100305449453,2.449048507470128e-06,81097432.81847142,26430949.985550597
0.0013210387147392,8.477475602781213e-06,33559155.7125804,5248535.809269565
0.0015860534787928,1.733172789901937e-05,30229773.488761146,4595564.271262413
0.0019042330928867,3.221440729056861e-05,26282874.394757677,6267997.828993222
0.0022862430053776,5.1430018656872685e-05,21545519.97620719,5676010.570600605
0.0027448882698043,8.703541618855378e-05,21087129.07763497,3542453.3552249772
0.0032955427730067,0.0001420448134332,16947717.55973199,3304569.377072695
0.0039566645710832,0.000222675025833,11661896.715625688,2588121.625385198
0.0047504146073584,0.0003259118398402,12239137.29966041,2143917.6376830554
0.0057033995519175,0.0004948961868556,7685802.484030928,1556292.4341066612
0.0068475636628487,0.0007456410763512,5519170.085113224,1112165.286885778
0.0082212595645699,0.001102448605055,3630417.430748011,702859.9111635657
0.0098705338359591,0.0016094016461013,2650884.556641362,522558.5751766289
0.0118506705014745,0.0022983378300873,1804926.2713097292,363393.9383904841
0.014228044163416,0.0032259620493783,1165703.3016354698,242175.3660830673
0.0170823448927153,0.0045284790786589,788736.8919485715,166220.17202357616
0.020509249457068,0.0063492524497896,467683.13077413366,110374.26925411518
0.024623628426541,0.0088442677138615,322146.86316041276,77198.43923638698
0.0295633966595206,0.0120918944231136,254951.54428645,55514.13928014035
0.0354941362381063,0.016435564533632,185428.29322620243,39245.7412318727
0.0426146468147303,0.02226147415621,131843.7137779191,27488.527809473915
0.0511636094188018,0.0299699485276456,91266.39286582735,18892.716636264504
0.0614275870955911,0.0401497012314652,63860.84614757049,13064.067421126712
0.0737506305604739,0.0538257532622186,47343.835787179894,10061.916413547471
0.0885458108521064,0.0719319456546387,32330.725243631707,7615.860049941639
0.1063090655615219,0.0965179436211313,22918.44770387521,6182.716906540134
0.1276358227656924,0.1297509667024608,18205.887452126648,5386.281046646066
0.1532409599033448,0.1684308620527506,13721.71340191793,3956.3049352996513
0.183982766618797,0.209038346966766,9651.032075546113,2576.32738361653
0.2208917148134356,0.2509673761330818,6888.276471390155,1626.3095412497303
0.2652050002830813,0.2991567384495313,4830.883850616752,1012.082096906641
0.3184080137842777,0.3547375175498723,3523.9908381263976,717.2036939487405
0.3822841316484654,0.4215130857662062,2221.7437016463236,476.9788202970343
0.4589744949360234,0.4953824171786006,1250.5491776557376,339.3458459515407
0.5510497809401385,0.5899561930614943,1097.7156023150405,292.1135303272219
0.6615963728365803,0.7300931977074425,791.5760700978036,258.6741369271771
0.7943198159043792,0.8921341154275101,656.5048418415579,204.4154559509016
0.9536690281919292,1.028308371200025,531.3357430598621,146.86520251585324
1.1449854291964725,1.1320334878019476,504.31967205896274,113.42592510795336
1.3746819853820282,1.2145660457269971,303.6249429276743,67.5456947272096
