r_scaled,m_scaled,Q_r,Q_tot
0.001100305449453,1.8888981187572695e-05,73861016.03192471,16395744.310360227
0.0013210387147392,4.690763661580553e-05,65979292.317622595,7856647.959811443
0.0015860534787928,9.287082417223242e-05,43177391.832414515,7344185.515136002
0.0019042330928867,0.0001621304218599,41114944.24115616,7605779.931348493
0.0022862430053776,0.0002707420636885,24868695.11074342,5405711.3983202735
0.0027448882698043,0.0004382243635516,25553189.15927323,4765081.450340646
0.0032955427730067,0.0006648921378025,15542503.192719353,3059189.231402112
0.0039566645710832,0.0009866344506975,10465988.117069826,2027033.0862101964
0.0047504146073584,0.0014415440809649,7164568.564644378,1518722.1037241113
0.0057033995519175,0.002085343523108,5043465.576177501,1027728.9185755693
0.0068475636628487,0.002941014370905,3397430.98461936,712628.9332276311
0.0082212595645699,0.0041499091669097,2460163.42755949,497693.08628500183
0.0098705338359591,0.0058725842512163,1728724.0343877978,367290.81486906466
0.0118506705014745,0.0082182808983597,1265688.7032523232,264083.3203319194
0.014228044163416,0.0114549078248503,934779.7501931725,197956.46101632566
0.0170823448927153,0.0157927623545764,659273.2759544458,146417.2350836215
0.020509249457068,0.0217078468134647,473488.7755064733,106683.27061579606
0.024623628426541,0.0294101437090506,334771.4877007881,77310.32656312548
0.0295633966595206,0.0391987285768039,231650.39635094785,55556.25862259591
0.0354941362381063,0.0517236971859303,168117.7577045227,40822.77193428816
0.0426146468147303,0.0673984034080844,122880.8322588308,30535.871233021167
0.0511636094188018,0.0869935176757191,88963.44256819559,22515.0756836724
0.0614275870955911,0.1103465947506215,62739.57075053296,16512.70541412248
0.0737506305604739,0.1384055466720545,45813.30705747091,12318.937915346234
0.0885458108521064,0.170818408757223,32684.20794418761,8808.947067382684
0.1063090655615219,0.2071220861506783,22573.97104836764,6123.764590859856
0.1276358227656924,0.2446743252006323,12905.808555971245,3635.685476602344
0.1532409599033448,0.2831829763313836,7158.241292965438,2157.377181224732
0.183982766618797,0.3252339410675111,4432.861015766956,1377.1064748956815
0.2208917148134356,0.374729368106014,3443.632900181402,1095.8372201074167
0.2652050002830813,0.4345665123447131,2764.697774189713,921.9889192360937
0.3184080137842777,0.5039514069410239,2063.954921703706,739.3164791198562
0.3822841316484654,0.5876242417239678,1401.3888566080218,549.148287312822
0.4589744949360234,0.6848609390813545,1083.2746878153855,430.6393391007802
0.5510497809401385,0.7758403466040047,905.8651270913875,313.23647957540237
0.6615963728365803,0.858139952454612,600.0185441908995,185.6385295823715
0.7943198159043792,0.9421669556348228,476.9637659889212,134.671193424955
0.9536690281919292,1.021709714681104,344.30217041567414,100.59889675743081
1.1449854291964725,1.093988401195351,441.58226118078943,122.7604124594439
1.3746819853820282,1.1510406799742956,317.0617369115746,81.98413460843145
