r_scaled,m_scaled,Q_r,Q_tot
0.001100305449453,1.5011692870614313e-05,290613738.5946205,30787546.42495667
0.0013210387147392,3.7188057338567275e-05,178304412.29892048,30932539.61825602
0.0015860534787928,6.959966694557545e-05,63575715.547904566,14668234.310761632
0.0019042330928867,0.0001235052913445,50993234.17512708,9611080.245997233
0.0022862430053776,0.0002064107769709,51093310.54921706,9097266.092008462
0.0027448882698043,0.0003179749489866,27627416.539080635,6013633.421279649
0.0032955427730067,0.0004704801015585,21054518.993684515,4474167.275359445
0.0039566645710832,0.0007072554391087,16170357.678053143,3273827.3760546255
0.0047504146073584,0.001028983311313,11157627.59524875,2274873.4827649314
0.0057033995519175,0.0014629577052089,6457046.639681696,1400246.696041179
0.0068475636628487,0.0020995899528581,5455722.038278525,1153030.6513976513
0.0082212595645699,0.0029562799709971,3760946.007908818,824429.1894173346
0.0098705338359591,0.0041077450491408,2731706.396082702,581369.3841588486
0.0118506705014745,0.0056252907284247,1862064.11494228,404751.69959995983
0.014228044163416,0.0076303752511656,1295775.8524908482,291927.13365535566
0.0170823448927153,0.0103259976459548,908082.9928206119,211331.29951858582
0.020509249457068,0.0138199691615903,674501.8643774259,154309.84233020953
0.024623628426541,0.0182835595667322,465760.23146832094,111934.1709563133
0.0295633966595206,0.0237662392128862,308596.4183964025,74938.93036469775
0.0354941362381063,0.0306832178778597,222013.24783208297,53599.28514723645
0.0426146468147303,0.0393930703163577,162703.16472841383,39231.59111518001
0.0511636094188018,0.050158159978778,118321.59563879207,28699.6687571482
0.0614275870955911,0.0630320513146816,83184.74423727192,19405.012593090483
0.0737506305604739,0.0782801783480081,56313.26132497648,12805.861480666983
0.0885458108521064,0.0965098322903414,38844.58134579929,8773.308009649938
0.1063090655615219,0.1183351278500248,26475.585691716773,6118.445011685744
0.1276358227656924,0.1453285398552551,21132.049822046265,4757.792023811963
0.1532409599033448,0.17773230244099,15655.732838941618,3548.9349492584515
0.183982766618797,0.2165269520915509,12177.064679410629,2540.0422255392054
0.2208917148134356,0.2621062045699537,8923.21164771413,1812.157336165456
0.2652050002830813,0.3114578272317742,5370.252591872405,1024.7867628702577
0.3184080137842777,0.3741029862801995,3718.7279693322575,673.2171329989118
0.3822841316484654,0.4587505106292139,3047.889756123646,525.9255281482743
0.4589744949360234,0.5925746349481711,2988.766630363464,447.6906315474015
0.5510497809401385,0.7488658046970302,2027.6340911003736,301.8022899028061
0.6615963728365803,0.8539585723861454,871.2135265038963,143.31219983490425
0.7943198159043792,0.9437151899337384,523.7423413177552,85.94757647155818
0.9536690281919292,1.024535414950422,270.2279497583018,54.32871496255511
1.1449854291964725,1.0861519318623722,134.59502211436805,40.56706668052098
1.3746819853820282,1.1339938558661822,90.09232850944956,28.56102037181167
