halo_id,delta_J_tot
0,0.16077508892222295
1,0.27451368213187644
2,0.1694895175222796
3,0.5017802196181422
4,0.1288319357880567
5,0.15086314018156552
6,0.15953504869610435
7,0.3752601317574771
8,0.12331122358317313
9,0.10645769951728931
10,0.12192631151096833
11,0.09871035465952792
12,0.4164509050396285
13,0.20950295674737104
14,0.16059594130520272
15,0.10283467159458284
16,0.17711734035692195
17,0.1857958011640757
18,0.09059166183563921
19,0.14129635603826418
20,0.08830294541478956
21,0.32406047116365255
22,0.1201669178233048
23,0.21850229643591287
24,0.09081387192660115
25,0.22620412936786471
26,0.18930689981754997
27,0.13023097357817665
28,0.13072012212421913
29,0.15272063900285401
30,0.10259261858245414
31,0.292545627853059
32,0.2093783908847411
33,0.10517413004360268
34,0.1691619058628263
35,0.21418170614132576
36,0.11278980922922233
37,0.179419046409338
38,0.10061965958250768
39,0.15481605223763048
40,0.12268624541020055
41,0.19234564272461244
42,0.5906256755783308
43,0.8825337391911249
44,0.2784031406589801
45,0.12868767926897984
46,0.17230602074591866
47,0.40040755787269394
48,0.16526853750960496
