halo_id,r_scaled,delta_J
24,0.001100305449453,31.635263266962514
24,0.0013210387147392,2.842187115865796
24,0.0015860534787928,2.621509407851284
24,0.0019042330928867,4.242312007010348
24,0.0022862430053776,0.6567274969615949
24,0.0027448882698043,1.2532505027726517
24,0.0032955427730067,0.3647675125007758
24,0.0039566645710832,0.5899693876174107
24,0.0047504146073584,0.24094263843717625
24,0.0057033995519175,0.09924314711686168
24,0.0068475636628487,0.13421572820265334
24,0.0082212595645699,0.13908169245780794
24,0.0098705338359591,0.08080453341323701
24,0.0118506705014745,0.17586528113642444
24,0.014228044163416,0.16446333017593984
24,0.0170823448927153,0.09210641535107146
24,0.020509249457068,0.10029840814550393
24,0.024623628426541,0.11775281195073158
24,0.0295633966595206,0.046230420647327686
24,0.0354941362381063,0.015989799547327876
24,0.0426146468147303,0.0065897527985153016
24,0.0511636094188018,0.04709203579126306
24,0.0614275870955911,0.004377882592274838
24,0.0737506305604739,0.026915903738407757
24,0.0885458108521064,0.011821278490111994
24,0.1063090655615219,0.044053285239557004
24,0.1276358227656924,0.02802180417185282
24,0.1532409599033448,0.021041630604909274
24,0.183982766618797,0.0541070864173546
24,0.2208917148134356,0.06799179278790175
24,0.2652050002830813,0.17727102776414497
24,0.3184080137842777,0.34444538201796665
24,0.3822841316484654,0.052333185048284075
24,0.4589744949360234,0.15280372040029488
24,0.5510497809401385,0.05248477713809582
24,0.6615963728365803,0.738169491220105
24,0.7943198159043792,0.7317237034552841
24,0.9536690281919292,0.851472132203635
24,1.1449854291964725,1.5624653346455515
24,1.3746819853820282,1.3425656876188234
