r_scaled,slope_Q_r,slope_Q_tot
0.001100305449453,-1.3036857260013512,-0.6274191043534462
0.0013210387147392,-1.3470299107685897,-0.6831831360950595
0.0015860534787928,-1.1894164353685128,-0.7261661896850217
0.0019042330928867,-1.363986485849572,-0.9875103725010821
0.0022862430053776,-1.4411237027978783,-1.148351513223145
0.0027448882698043,-1.6037081617923568,-1.4347237832780682
0.0032955427730067,-1.6530076221578827,-1.599939963568743
0.0039566645710832,-1.7419016514638146,-1.6804532682191802
0.0047504146073584,-1.7787234189974725,-1.7240463887126354
0.0057033995519175,-1.8238381890585116,-1.7846694383019899
0.0068475636628487,-1.8813976665969085,-1.8454973610520784
0.0082212595645699,-1.9320862004207706,-1.898771885530447
0.0098705338359591,-1.9606337204134543,-1.9380018702414483
0.0118506705014745,-1.9865525554243617,-1.9481665360910445
0.014228044163416,-1.9886587731714604,-1.9384684535444499
0.0170823448927153,-1.9809369177060872,-1.9198436795287717
0.020509249457068,-1.9822051035787005,-1.9048598368540026
0.024623628426541,-1.9794024710969516,-1.8878148753014314
0.0295633966595206,-1.9768647166926425,-1.869472919755161
0.0354941362381063,-1.9756544084569247,-1.85106595492887
0.0426146468147303,-1.9796737192970304,-1.8367341377898598
0.0511636094188018,-1.9868907183073758,-1.8251632908565814
0.0614275870955911,-1.9950010628478416,-1.8145186471646162
0.0737506305604739,-2.0040159749998923,-1.8039839999702956
0.0885458108521064,-2.011539519840196,-1.7917214958854557
0.1063090655615219,-2.014732846112203,-1.775597407685037
0.1276358227656924,-2.0125603538781736,-1.7553640673120916
0.1532409599033448,-2.0037366405771118,-1.7301200682363382
0.183982766618797,-1.9881217153481825,-1.698368553982971
0.2208917148134356,-1.9637072803444366,-1.6587650649411754
0.2652050002830813,-1.9292639218987955,-1.6112131504746663
0.3184080137842777,-1.8857004715086394,-1.5559244870358633
0.3822841316484654,-1.8346596356819482,-1.49302365806993
0.4589744949360234,-1.7754554014625918,-1.4208154508011908
0.5510497809401385,-1.7073272846384675,-1.337883638087325
0.6615963728365803,-1.6291079663512607,-1.2425758699821978
0.7943198159043792,-1.5410879921433849,-1.1349052913984894
0.9536690281919292,-1.4501064111775839,-1.021787690274129
1.1449854291964725,-1.36044771913097,-0.9063979505141915
1.3746819853820282,-1.2876338914639038,-0.8030090127413255
