halo_idx,r_scaled,rho_scaled
7,0.0011003054494530783,3232368.2734489674
7,0.0013210387147392024,1647996.6655840655
7,0.0015860534787928678,1841010.3202627942
7,0.001904233092886742,2861185.2890244746
7,0.0022862430053776014,2310314.1297803246
7,0.002744888269804314,1861578.1799151956
7,0.0032955427730067214,1535644.1204326435
7,0.003956664571083289,1304411.7014773386
7,0.00475041460735845,1169559.5985094334
7,0.005703399551917563,928366.00035876
7,0.006847563662848714,670536.4571027713
7,0.008221259564569927,530578.4486990849
7,0.009870533835959136,393496.0510664314
7,0.011850670501474531,296768.32658209995
7,0.014228044163416009,228198.8514297281
7,0.017082344892715387,167020.18164250572
7,0.02050924945706801,119262.06429198428
7,0.024623628426541026,93647.16543788069
7,0.029563396659520607,75069.59559650051
7,0.0354941362381063,60012.65365187776
7,0.042614646814730386,43205.78065392659
7,0.05116360941880182,27431.269956794767
7,0.06142758709559115,19301.26642324369
7,0.0737506305604739,13676.436218477871
7,0.0885458108521064,9421.011295709299
7,0.10630906556152198,6943.602375979228
7,0.1276358227656924,5369.277367376325
7,0.1532409599033448,3893.1978658247913
7,0.18398276661879706,2834.047400431445
7,0.2208917148134356,2079.612139617298
7,0.26520500028308136,1542.2170592177854
7,0.3184080137842777,1224.0082219329004
7,0.3822841316484654,1115.2995583568647
7,0.4589744949360234,859.669840658921
7,0.5510497809401385,483.9458637482654
7,0.6615963728365803,307.5386849211883
7,0.7943198159043792,152.09116553495275
7,0.9536690281919291,69.79988854951809
7,1.1449854291964723,14.156239582441577
7,1.3746819853820282,1.690846423336616
