r_scaled,m_scaled,Q_r,Q_tot
0.001100305449453,3.438728835553672e-06,28112052.95676379,17898124.968299776
0.0013210387147392,4.126474602664406e-06,,
0.0015860534787928,1.1691678040882484e-05,128106823.09703143,3988219.2824940844
0.0019042330928867,2.063237301332203e-05,105163789.6465944,15207196.389229823
0.0022862430053776,3.78260171910904e-05,9020543.135102043,2654640.6425069505
0.0027448882698043,6.258486480707683e-05,24028343.697470494,4536894.292636031
0.0032955427730067,9.697215316261357e-05,6193057.619336902,2450838.623586758
0.0039566645710832,0.0001451143568603,8846944.690405596,1983817.40640538
0.0047504146073584,0.0002228296285438,4975220.993261306,1141574.9299388418
0.0057033995519175,0.0003521258327606,8812595.292981181,1632766.3458544582
0.0068475636628487,0.0005336907152779,4424704.367436904,833743.8438977419
0.0082212595645699,0.0008136032424919,3410410.4656855064,711631.4998299608
0.0098705338359591,0.0011904879228686,2066205.8265837147,447742.0561104808
0.0118506705014745,0.0017324315873519,1299089.5778249307,298744.1823634013
0.014228044163416,0.002472446032763,1080319.2444770301,212318.616406017
0.0170823448927153,0.0035425784463873,787160.3104919188,149336.48545007245
0.020509249457068,0.0049834058284843,497260.59011653665,96806.23053688408
0.024623628426541,0.0069682401123659,303453.5707273144,65963.79661463748
0.0295633966595206,0.0097164721977404,227827.94502050552,47587.50668030442
0.0354941362381063,0.013564409764725,169678.88830760634,35077.88671597474
0.0426146468147303,0.0187788981709586,123878.22607601524,25238.942661385812
0.0511636094188018,0.0258908771486507,82251.03010453378,17520.659148577197
0.0614275870955911,0.0356754361773351,60066.92703220328,13096.816207775964
0.0737506305604739,0.0504145157122852,50572.936761936304,11650.787514244408
0.0885458108521064,0.0686335888288157,34005.94490325893,7908.482348659032
0.1063090655615219,0.0919708659441842,24320.594962833016,5670.4347230343365
0.1276358227656924,0.1221016957470726,16808.711137043767,4096.680006203493
0.1532409599033448,0.1608692368933376,13320.13457249797,3263.9746961771593
0.183982766618797,0.2095994632219687,10289.907289250725,2540.260783069036
0.2208917148134356,0.2688164370075043,7611.3932875182545,1940.6562501910385
0.2652050002830813,0.3398901478180289,5386.6425819266915,1445.61231408929
0.3184080137842777,0.4139830625461696,3065.941591585572,839.133176712449
0.3822841316484654,0.4972236837226503,1982.0693618824905,571.1689785218134
0.4589744949360234,0.5910679691364442,1394.3947452734833,415.2230254393053
0.5510497809401385,0.7012778528244051,1150.6819131389243,328.2793005682846
0.6615963728365803,0.81134399764704,731.3716346363186,205.83807887980316
0.7943198159043792,0.9169783087464132,456.67618077031534,128.76563789774573
0.9536690281919292,1.031534745682514,289.83774173904635,101.26768068914106
1.1449854291964725,1.126815732003802,353.4274933990116,98.45064073577267
1.3746819853820282,1.251614078903716,466.3725655303677,103.02565197768624
