halo_id,r_scaled,delta_J
22,0.001100305449453,11.444587159165442
22,0.0013210387147392,9.10975133425079
22,0.0015860534787928,2.714744609021026
22,0.0019042330928867,2.6822217533472035
22,0.0022862430053776,1.0766383774642871
22,0.0027448882698043,0.09281531575286799
22,0.0032955427730067,0.42263067569655166
22,0.0039566645710832,0.4159010189413057
22,0.0047504146073584,0.23427429663685456
22,0.0057033995519175,0.522097148176908
22,0.0068475636628487,0.46064177019801006
22,0.0082212595645699,0.4378046804665785
22,0.0098705338359591,0.05006928973555693
22,0.0118506705014745,0.10852449980823398
22,0.014228044163416,0.31732773300162465
22,0.0170823448927153,0.11259836587603825
22,0.020509249457068,0.07384212083366729
22,0.024623628426541,0.2278868719666044
22,0.0295633966595206,0.07382285524771925
22,0.0354941362381063,0.04478558560973304
22,0.0426146468147303,0.01179237704905071
22,0.0511636094188018,0.004560172960787917
22,0.0614275870955911,0.07735304695128566
22,0.0737506305604739,0.06701086490592843
22,0.0885458108521064,0.013754645241321129
22,0.1063090655615219,0.09390992804928638
22,0.1276358227656924,0.12332031901202023
22,0.1532409599033448,0.05916832521945685
22,0.183982766618797,0.14530763080532957
22,0.2208917148134356,0.16584049971397055
22,0.2652050002830813,0.08472829307591222
22,0.3184080137842777,0.24022671766572307
22,0.3822841316484654,0.120296658570509
22,0.4589744949360234,0.003091747270046521
22,0.5510497809401385,0.23353449943083074
22,0.6615963728365803,0.3555835126288966
22,0.7943198159043792,0.2904717081097659
22,0.9536690281919292,0.43955797267133656
22,1.1449854291964725,0.6494339926449496
22,1.3746819853820282,1.5077362936544836
