halo_idx,r_scaled,sigma_rad_scaled,sigma_tan_scaled,sigma_total_scaled,beta
45,0.0011003054494530783,0.2583476767315324,0.28908524813718117,0.3877032501767005,0.3739447
45,0.0013210387147392024,0.3068487114504336,0.682683748383566,0.7484739343622006,-1.4749165
45,0.0015860534787928678,0.2793624213891805,0.31625221549014226,0.4219701663354933,0.3592314
45,0.001904233092886742,0.27719856528952325,0.3465205473090982,0.4437516786698967,0.21864927
45,0.0022862430053776014,0.2435255888827501,0.3952356935224549,0.4642369694336943,-0.31702232
45,0.002744888269804314,0.2843868818069071,0.410429649011007,0.4993279551552557,-0.041425824
45,0.0032955427730067214,0.2759638928857662,0.4500009577998421,0.527879681681608,-0.32951224
45,0.003956664571083289,0.3223837842655072,0.45264461101284015,0.5557143701222433,0.0143146515
45,0.00475041460735845,0.3625682790560903,0.5121603254186313,0.6275061338125039,0.0022947192
45,0.005703399551917563,0.400053978793344,0.5284852711182046,0.6628271522641095,0.12743336
45,0.006847563662848714,0.3881293859304583,0.5199215879856198,0.6488165134864707,0.10279298
45,0.008221259564569927,0.4095525248430604,0.5981844116759614,0.7249537066046734,-0.06664765
45,0.009870533835959136,0.42973337051657795,0.5928273042232078,0.7321987425238417,0.048457503
45,0.011850670501474531,0.45261160357320523,0.656783878389768,0.7976354576562678,-0.052842975
45,0.014228044163416009,0.48845438227280513,0.666756299629832,0.8265298790705947,0.068342626
45,0.017082344892715387,0.48134089070865266,0.6571146808914037,0.8145481784831053,0.068148196
45,0.02050924945706801,0.5027894162255622,0.6780789678527275,0.8441494445091444,0.09059304
45,0.024623628426541026,0.5278217245008372,0.7067274353014217,0.8820767401023968,0.10360503
45,0.029563396659520607,0.5404218291779581,0.7271267611011113,0.9059630591977575,0.09484184
45,0.0354941362381063,0.547721812776048,0.7359093612230397,0.917366741268816,0.097393274
45,0.042614646814730386,0.5644073162132809,0.7627513509166537,0.9488652555089315,0.08683199
45,0.05116360941880182,0.5797855308795599,0.7923175708082568,0.9817934772887648,0.06624305
45,0.06142758709559115,0.6082227021742379,0.8231079783874977,1.0234459536869362,0.08428919
45,0.0737506305604739,0.6415893889573396,0.8519554127406974,1.0665199828456218,0.11836386
45,0.0885458108521064,0.67977263782882,0.9034190593282456,1.1306002378301083,0.11687714
45,0.10630906556152198,0.7340030359630637,0.9558077879519159,1.2051260854098962,0.15215707
45,0.1276358227656924,0.8380408353204668,0.9823567395380648,1.2912541451020763,0.31296617
45,0.1532409599033448,0.9823199459509423,0.9483924724765131,1.3654305992252578,0.5339416
45,0.18398276661879706,1.0147070398821718,0.9047446963524084,1.3594827556837432,0.60249674
45,0.2208917148134356,0.9904226898970954,0.900173068882262,1.3383753717635314,0.5869707
45,0.26520500028308136,0.9101076286474504,0.9191349692262015,1.293485642182809,0.49003184
45,0.3184080137842777,0.8899475582447619,0.8783948572918221,1.2504335532634103,0.5128971
45,0.3822841316484654,0.8909261317492335,0.8395876221901838,1.2241963278204022,0.5559635
45,0.4589744949360234,0.9039824186582505,0.7854160064227018,1.1975235012549175,0.6225586
45,0.5510497809401385,0.9318655503705853,0.5908297716410641,1.103382594349237,0.7990036
45,0.6615963728365803,1.013552361979177,0.3926812574771761,1.0869622668571892,0.92494875
45,0.7943198159043792,0.8971614312576865,0.5985822969446198,1.0785172163458805,0.77742493
45,0.9536690281919291,0.8604889037740867,0.6316689544347008,1.0674487539485265,0.7305622
45,1.1449854291964723,0.32047471647562037,0.5206137734109059,0.6113450118022953,-0.31951332
45,1.3746819853820282,0.26910016570491035,0.5243566229041005,0.5893765705707827,-0.8984344
