halo_id,vvir
000,58.80848912907161
001,59.38099888944594
002,59.06141237239701
003,61.165314898613836
004,62.15853688694543
005,59.55801804703718
006,57.80459264543405
007,61.124804625194
008,61.79312175821262
009,57.831776736354755
010,60.13037163864485
011,64.15815287748751
012,63.365874389167594
013,62.50936847627456
014,58.40869827154308
015,60.60143575122058
016,61.642019231100356
017,61.09776615087155
018,61.146417314203816
019,60.645395049001685
020,61.34830066591538
021,56.930163198126756
022,61.57817563607618
023,57.43353435425966
024,61.946122382656505
025,59.95391358076181
026,63.194403460083954
027,61.50085030028073
028,55.08253437528427
029,59.17986052297137
030,58.92504596925028
031,61.37512018237961
032,58.90177225590278
033,60.2168241092264
034,63.3457467104216
035,60.50505061468189
036,62.30714674370305
037,61.11399017638859
038,48.8873059965784
