gamma,beta
-3.181644697452078, 0.25045139145326206
-3.129837012820391, 0.25023573235869895
-3.0963515581194225, 0.2499156994441489
-3.0477028786482045, 0.2496189121758198
-3.014217423947236, 0.24935420708361064
-2.965568744476018, 0.2489115555563829
-2.9320832897750493, 0.2485663736316779
-2.883434610303831, 0.2480683942821093
-2.8499491556028627, 0.24765279512897057
-2.8013004761316442, 0.24695362369816248
-2.7678150214306756, 0.24656317355517865
-2.7191663419594576, 0.24561251202282125
-2.6856808872584894, 0.2451717638595275
-2.637032207787271, 0.24427140034747996
-2.6035467530863023, 0.2435037150521721
-2.553002670518803, 0.24228183501490352
-2.5214126189141157, 0.24150872911280255
-2.4689731332503353, 0.23950762056549313
-2.4408579873221634, 0.2391173205928577
-2.3918934073348983, 0.23737327292423913
-2.360303355730211, 0.23628580439520147
-2.3148136814194613, 0.2336696270493172
-2.2339431493114623, 0.23057788373068447
-2.2039326002870094, 0.2289808220753743
-2.158127025460213, 0.2262175881542107
-2.1281164764357605, 0.22446963243797094
-2.082310901608964, 0.22136688687971573
-2.0538798551647455, 0.2192871774661562
-2.0096537829181833, 0.2157987874745349
-1.9812227364739647, 0.21351429326399946
-1.9359436625072464, 0.20938841334292055
-1.903150180365238, 0.20625514133199987
-1.8564420326354503, 0.2012917347555721
-1.8128928900661316, 0.19618540529471196
-1.753774364920217, 0.18895467975671892
-1.6700607281677962, 0.1772399270631024
-1.6313629149520543, 0.17141019201144822
-1.6012395443147271, 0.16670769995365903
-1.564234055292094, 0.160273590635996
-1.5247464907862351, 0.15331545658895673
-1.498947948642407, 0.14864305998717892
-1.4710434030582666, 0.14334865961157994
-1.4568278798361574, 0.1404028692066298
-1.4214470220389077, 0.13347909703015615
-1.3993339859156269, 0.12940951677394824
-1.3667962327627992, 0.12251848082878669
-1.3361538827062525, 0.11611368742536105
-1.314672647615065, 0.11055767040074238
-1.2894006063313155, 0.10599010520264185
-1.2246410005417068, 0.09207662175697351
-1.1993689592579568, 0.08631013465657766
-1.1788354257149103, 0.08224022872973463
-1.1517582386251783, 0.0761346021872587
-1.1330298508881138, 0.07217749461110134
-1.1077578096043639, 0.06667507211733237
-1.0872242760613173, 0.06261271089353576
-1.0583419431656034, 0.05652685721104811
-1.031941685753115, 0.051488127669159445
-0.99403362382749, 0.044281321476205004
-0.9586076373850911, 0.03785811372458331
-0.9284842667477644, 0.03292119696499268
-0.8882069509517883, 0.026771137704498182
-0.8427962517700505, 0.020603275115951614
-0.8119395406490435, 0.017064974160985624
-0.7699699006599587, 0.012676143633626846
-0.7423662127101487, 0.010278308288014015
-0.6997196430438208, 0.007193773146104754
-0.6702355948794465, 0.00559488822867843
-0.6433840510154623, 0.004338401574427442
-0.5956830730923852, 0.0026884021573818084
-0.5659884245839786, 0.002141246541913222
-0.5249213574978855, 0.001458116199165027
-0.4380487155849955, 0.0005706637185179386
-0.34169905819069957, 0.0004773590815618234
-0.25956492401851294, 0.0004942939545869995
-0.2058618362905449, 0.0005053667561804032
-1.7194244604316542, 0.18484091077653336
-1.6978417266187047, 0.1812371134020618
-1.266187050359712, 0.1009137432322183
-1.2482014388489207, 0.09782466810057105
-0.48920863309352436, 0.001073944967737106
-0.3848920863309351, 0.000579989616554144
-0.30575539568345267, 0.0005963064599865953
-2.273381294964029, 0.23214937328487717
