halo_idx,r_scaled,m_scaled
10,0.0011003054494530783,2.0187148041885132e-05
10,0.0013210387147392024,5.442863965723459e-05
10,0.0015860534787928678,0.00010502427652170618
10,0.001904233092886742,0.00019727187706753573
10,0.0022862430053776014,0.00030996215917476793
10,0.002744888269804314,0.0004847470865247607
10,0.0032955427730067214,0.0007154938546490933
10,0.003956664571083289,0.0010443654942681585
10,0.00475041460735845,0.0015061145640363413
10,0.005703399551917563,0.0021434151617130697
10,0.006847563662848714,0.0029836093738867192
10,0.008221259564569927,0.0041544639603160564
10,0.009870533835959136,0.005758192328808096
10,0.011850670501474531,0.007964213202802961
10,0.014228044163416009,0.010956766249872794
10,0.017082344892715387,0.014997006726964513
10,0.02050924945706801,0.02028885038265311
10,0.024623628426541026,0.02715248071689406
10,0.029563396659520607,0.035939000785504445
10,0.0354941362381063,0.04717966477556122
10,0.042614646814730386,0.06148264246351612
10,0.05116360941880182,0.07956496090513533
10,0.06142758709559115,0.10221059693829863
10,0.0737506305604739,0.12966997341213327
10,0.0885458108521064,0.16159709794121244
10,0.10630906556152198,0.19940251555327293
10,0.1276358227656924,0.23996284003925195
10,0.1532409599033448,0.28505505149387445
10,0.18398276661879706,0.33506628319920945
10,0.2208917148134356,0.39312656523582723
10,0.26520500028308136,0.4588929716205353
10,0.3184080137842777,0.534404915372603
10,0.3822841316484654,0.6171170271041163
10,0.4589744949360234,0.7013321869974317
10,0.5510497809401385,0.78668983725651
10,0.6615963728365803,0.8680126132424063
10,0.7943198159043792,0.9471855857286018
10,0.9536690281919291,1.0297750413707465
10,1.1449854291964723,1.0834984085141128
10,1.3746819853820282,1.1268460926309891
