halo_idx,r_scaled,m_scaled
29,0.0011003054494530783,9.788137246212948e-06
29,0.0013210387147392024,2.730375126575191e-05
29,0.0015860534787928678,5.1516511822173415e-05
29,0.001904233092886742,9.685104222568603e-05
29,0.0022862430053776014,0.00016794382854028533
29,0.002744888269804314,0.00029209862203172324
29,0.0032955427730067214,0.0004626182761631173
29,0.003956664571083289,0.0007263828166926452
29,0.00475041460735845,0.0010936955459847416
29,0.005703399551917563,0.0016181336363344672
29,0.006847563662848714,0.002356880415864434
29,0.008221259564569927,0.0034042111012092197
29,0.009870533835959136,0.00486882553231361
29,0.011850670501474531,0.006884151474797034
29,0.014228044163416009,0.009636163536337538
29,0.017082344892715387,0.013386565596991763
29,0.02050924945706801,0.018565005365356633
29,0.024623628426541026,0.025380124714311954
29,0.029563396659520607,0.034244055738435114
29,0.0354941362381063,0.04585948365898055
29,0.042614646814730386,0.06069778455912116
29,0.05116360941880182,0.0796800736702374
29,0.06142758709559115,0.10323290771021684
29,0.0737506305604739,0.13176893393875516
29,0.0885458108521064,0.16530206181404428
29,0.10630906556152198,0.20443039803833968
29,0.1276358227656924,0.24971495742538477
29,0.1532409599033448,0.2990136834136136
29,0.18398276661879706,0.35376131085727375
29,0.2208917148134356,0.41155871580080655
29,0.26520500028308136,0.4728283336411539
29,0.3184080137842777,0.5401305350158777
29,0.3822841316484654,0.621592564830044
29,0.4589744949360234,0.7041874427391801
29,0.5510497809401385,0.7850271530905346
29,0.6615963728365803,0.8672712035541617
29,0.7943198159043792,0.9439643498689495
29,0.9536690281919291,1.0164923862029145
29,1.1449854291964723,1.0611978999970784
29,1.3746819853820282,1.1166590311294757
