r_scaled,m_scaled,Q_r,Q_tot
0.001100305449453,1.321930461629348e-05,59555567.21018383,18341088.291854218
0.0013210387147392,3.3537865415411236e-05,59851818.171723075,10061495.535478005
0.0015860534787928,6.560691920678986e-05,86326989.4514536,16395960.538400447
0.0019042330928867,0.0001189737415466,55097789.13276116,11174934.689134717
0.0022862430053776,0.0001985343711817,36204654.438420825,8439955.98242089
0.0027448882698043,0.0003150600933549,20033093.20995179,5063695.867512852
0.0032955427730067,0.0004793221933093,22081084.697616655,4216047.920569786
0.0039566645710832,0.0007033159659742,12497967.353640195,2546372.2380494927
0.0047504146073584,0.0010303713542588,9844327.540212654,1942298.5568112135
0.0057033995519175,0.0014810517208995,6697050.017075334,1294382.7152685185
0.0068475636628487,0.0020712691918233,4185876.6527561797,879079.9585647903
0.0082212595645699,0.0028803395947279,2870307.6784149427,562304.3980647263
0.0098705338359591,0.0040012876658021,1903603.4115089509,410389.1527014659
0.0118506705014745,0.0054465983038502,1297519.286106114,272197.931854073
0.014228044163416,0.0074334108272916,918399.6333736453,197253.98962573116
0.0170823448927153,0.0101015071423469,638327.4297795695,142481.02480508047
0.020509249457068,0.01348638352993,431887.21133169136,98410.14608607127
0.024623628426541,0.017942757997245,303125.47238654166,69009.46097888773
0.0295633966595206,0.0236865458530245,217966.06858132058,51460.04042140405
0.0354941362381063,0.0310337863983729,151013.24142426834,36601.318984722915
0.0426146468147303,0.0404596401936649,108343.39920657831,27146.926902878353
0.0511636094188018,0.0523724368703813,77946.52623830317,19739.950815531367
0.0614275870955911,0.0677900628839769,56153.56414553445,14461.486344340925
0.0737506305604739,0.0868755563247193,39428.02985470275,9663.75276065581
0.0885458108521064,0.1100727431050037,27314.283437411203,7101.003110998851
0.1063090655615219,0.138421541854645,20842.375349681693,5438.080228618102
0.1276358227656924,0.1721496183753685,15071.727708401186,3949.345798622347
0.1532409599033448,0.2126915120199792,10708.190867776002,2805.3362958570674
0.183982766618797,0.2607591068222583,7493.256522108189,2022.8174388111681
0.2208917148134356,0.318159775485578,5259.260458705351,1569.5800160491706
0.2652050002830813,0.380905204846815,3530.287324402769,1091.4537592153429
0.3184080137842777,0.4498238046619238,2408.500752885067,776.6823982702186
0.3822841316484654,0.5270803584627909,1702.8066984492714,586.7203712408514
0.4589744949360234,0.609181297801655,1107.8868115189925,374.0494330848538
0.5510497809401385,0.7002735674970346,876.0529730301124,295.25408185646035
0.6615963728365803,0.8155287676155,853.9166729048807,296.86335659842945
0.7943198159043792,0.9267870865030352,509.84315793978647,195.77768276996073
0.9536690281919292,1.023406004735775,254.90990560397498,112.39798522862198
1.1449854291964725,1.10354657016043,208.4747020937971,94.33598677909004
1.3746819853820282,1.161047607618059,120.03285472117717,61.34182460005172
