r_scaled,m_scaled,Q_r,Q_tot
0.001100305449453,1.052168768346552e-05,457893475.5830373,59716356.73769371
0.0013210387147392,2.7777255484348977e-05,192515638.42205966,24490743.37735068
0.0015860534787928,5.302930592466622e-05,147252526.0286205,18796580.86197175
0.0019042330928867,9.238041786082726e-05,48639710.911705166,8599194.11515859
0.0022862430053776,0.0001441471212634,32356166.291925434,7903175.16216672
0.0027448882698043,0.0002232702126431,27041086.12235025,5646685.886835117
0.0032955427730067,0.0003276453544631,17674890.884380344,3730181.08551144
0.0039566645710832,0.0004873645734981,13010490.935584093,2708443.848586921
0.0047504146073584,0.0006988504959357,9745314.091100516,2006734.0419899817
0.0057033995519175,0.0010029272699879,6036338.071310221,1310865.0927089397
0.0068475636628487,0.0014296869224292,4038618.004635012,858611.6286711172
0.0082212595645699,0.0020338422292138,3016912.84772373,634134.5507392985
0.0098705338359591,0.0028353843969402,2013895.4832632542,427720.4028338326
0.0118506705014745,0.0039081756731464,1376387.8102186883,277349.8978633471
0.014228044163416,0.0053751093699751,909317.6114499322,193427.64915489545
0.0170823448927153,0.0073839099825024,633473.656383489,131695.90656775588
0.020509249457068,0.0100381109175334,424546.745278812,89998.01807034231
0.024623628426541,0.0135496189650132,267729.3476127368,59017.476809308006
0.0295633966595206,0.0183504546212248,205632.80320681309,43965.20028052784
0.0354941362381063,0.0249229320495784,149236.98133137773,32860.566446537196
0.0426146468147303,0.0340031485204091,108086.8959528549,25211.702790078485
0.0511636094188018,0.0463192048214129,84172.760520562,19754.007000474205
0.0614275870955911,0.0625505915431878,66280.04236361902,15309.117737346856
0.0737506305604739,0.0834496093551017,47368.36325550586,11241.300841017304
0.0885458108521064,0.1090663414905279,32790.19232556865,8136.1339769480155
0.1063090655615219,0.1405228207240311,23616.203047847648,6104.506574256699
0.1276358227656924,0.1780595728360553,16131.359641449773,4318.959058580623
0.1532409599033448,0.2232702126431383,12056.917995210832,3325.1281550205317
0.183982766618797,0.2756393878825439,7957.205486712669,2438.4994168049393
0.2208917148134356,0.3339143864186787,5779.033500357021,1741.9579629970253
0.2652050002830813,0.3970232587103512,3682.9305505684792,1136.2134901686052
0.3184080137842777,0.4681911124662974,2557.8718141702443,766.3117941226869
0.3822841316484654,0.5434125516191755,1714.248280978699,512.8631876798141
0.4589744949360234,0.6341410645136986,1422.121462433613,381.44663273781464
0.5510497809401385,0.7448445806077737,741.6650117190346,322.76344951488755
0.6615963728365803,0.8398813037411688,542.0647607672445,196.0534021375219
0.7943198159043792,0.9357639705643144,360.2074483652533,131.98009358165612
0.9536690281919292,1.0215416085362596,327.47117000212023,107.96590058457792
1.1449854291964725,1.0986544262671176,502.36246220264684,134.16447583012484
1.3746819853820282,1.1654475727180325,450.9113051023567,131.97376830813417
