halo_idx,r_scaled,m_scaled
78,0.0011003054494530783,2.3819746998992445e-06
78,0.0013210387147392024,7.145924099697734e-06
78,0.0015860534787928678,1.580765028114953e-05
78,0.001904233092886742,3.1182214253226476e-05
78,0.0022862430053776014,5.803356541572705e-05
78,0.002744888269804314,0.00010112565316844974
78,0.0032955427730067214,0.00016868711738377378
78,0.003956664571083289,0.0002695962273976872
78,0.00475041460735845,0.00040710113052823453
78,0.005703399551917563,0.0006294909502370094
78,0.006847563662848714,0.0009304859350424594
78,0.008221259564569927,0.0013670369345876298
78,0.009870533835959136,0.0019919804785793775
78,0.011850670501474531,0.0029003790118591346
78,0.014228044163416009,0.004166723379587387
78,0.017082344892715387,0.005897769356950529
78,0.02050924945706801,0.008297717138676285
78,0.024623628426541026,0.011504721257358816
78,0.029563396659520607,0.01576758979756032
78,0.0354941362381063,0.021325169858734328
78,0.042614646814730386,0.02855749467709204
78,0.05116360941880182,0.03777616985201119
78,0.06142758709559115,0.04928847011977877
78,0.0737506305604739,0.06410825052993373
78,0.0885458108521064,0.08335828733874673
78,0.10630906556152198,0.1089662477078999
78,0.1276358227656924,0.14028336834640248
78,0.1532409599033448,0.1783620489853009
78,0.18398276661879706,0.22565182578870965
78,0.2208917148134356,0.28377157537994213
78,0.26520500028308136,0.3539672870702002
78,0.3184080137842777,0.4298405437292454
78,0.3822841316484654,0.5159523938210757
78,0.4589744949360234,0.6115351918628599
78,0.5510497809401385,0.7199611644001916
78,0.6615963728365803,0.8246673586288992
78,0.7943198159043792,0.9307563974424753
78,0.9536690281919291,1.0195568473410281
78,1.1449854291964723,1.0822629809453395
78,1.3746819853820282,1.152578441000056
