m_scaled,slope_Q_r,slope_Q_tot
7.710811251771691e-06,-0.31095466739759314,-0.7553804952041341
2.3467686418435584e-05,-0.3508090758440686,-0.7828761961181852
4.7605878163112183e-05,-0.5499588644318136,-0.7438581351512712
8.347791311700658e-05,-0.6513070495070448,-0.7214508482893525
0.0001451644031311,-0.7242502424001432,-0.7896440172003332
0.0002360178748368,-0.8674911032071786,-0.9318483787129609
0.0003697836874219,-0.9565785059808362,-1.0071595631537995
0.0005638949793686,-1.0280170267108837,-1.0554552787391671
0.00083477913117,-1.1005554787263694,-1.1042810694479304
0.0011800893741841,-1.1928832077114877,-1.1761359854779472
0.001677604326255,-1.1932220926122068,-1.1799521683407312
0.0023688953176095,-1.1953564167658943,-1.1833965445753596
0.003310620048315,-1.1887838667025368,-1.175482566527434
0.0046083831072545,-1.172298677662289,-1.1660974886500037
0.0063252119950946,-1.1663728738101449,-1.159307691436963
0.0086860612487892,-1.1541658657001321,-1.1485217949833886
0.0116617638866468,-1.1505128912249778,-1.1481782479692109
0.0154216225035433,-1.1507921226008153,-1.1488783081392842
0.0202630062116666,-1.1556480639406659,-1.1516399196877396
0.0263662809437754,-1.164917472151107,-1.1567382443812804
0.0338306814881536,-1.1784209100334433,-1.1630255829203482
0.0429022832995314,-1.193869617816866,-1.168064854230485
0.05429886232965,-1.2105053209479082,-1.1706640445824492
0.0690171247459665,-1.228347480201503,-1.1720222563595277
0.0866628134166514,-1.247922753254889,-1.1741887431291
0.1073053256429704,-1.2662257853269752,-1.174545918816499
0.1323279139129589,-1.2801805324487694,-1.1726097030635212
0.1631322696111237,-1.2897341617669689,-1.1700286789263192
0.2013500674488723,-1.2946048359749502,-1.1679613017704331
0.2464224412367828,-1.2939869025795037,-1.1668517416138102
0.3032494438990246,-1.288302323097577,-1.1676048502908378
0.3795177484956246,-1.2780268077518275,-1.1700648757708145
0.4946029474389696,-1.2631817693471274,-1.1732570022384037
0.6357734855943952,-1.2424278807379112,-1.174526773851289
0.7545400940314664,-1.2137683389802707,-1.1722467359064148
0.8586481150262566,-1.179505004959275,-1.1687354627617341
0.9498281228257938,-1.144481197677367,-1.1668947117985444
1.0217676450361817,-1.1118075629681639,-1.1694037871677427
1.0588486010932887,-1.0805152738889598,-1.1744179681199411
1.0839922155746635,-1.0405373131681044,-1.1764363488608893
