halo_idx,r_scaled,rho_scaled
20,0.0011003054494530783,6442393.053729373
20,0.0013210387147392024,3817998.5374617265
20,0.0015860534787928678,4412237.779571924
20,0.001904233092886742,4174777.874868612
20,0.0022862430053776014,3425059.9483998516
20,0.002744888269804314,2957966.0464975606
20,0.0032955427730067214,2520724.607034827
20,0.003956664571083289,2049795.3941613485
20,0.00475041460735845,1582640.3477516046
20,0.005703399551917563,1228798.7654001198
20,0.006847563662848714,923855.5213994092
20,0.008221259564569927,748460.9150870072
20,0.009870533835959136,586016.785847507
20,0.011850670501474531,450602.1082170104
20,0.014228044163416009,352657.0651414182
20,0.017082344892715387,278995.38704723143
20,0.02050924945706801,215923.57512253616
20,0.024623628426541026,167950.22307483482
20,0.029563396659520607,132626.92322614623
20,0.0354941362381063,101101.75913780153
20,0.042614646814730386,78507.6773331277
20,0.05116360941880182,60313.069531152556
20,0.06142758709559115,46200.72184429706
20,0.0737506305604739,33926.87253817711
20,0.0885458108521064,23822.52441853205
20,0.10630906556152198,16900.344363220585
20,0.1276358227656924,12266.850009404769
20,0.1532409599033448,8118.482683119979
20,0.18398276661879706,5169.942998877089
20,0.2208917148134356,3442.570991327624
20,0.26520500028308136,2149.0876886196547
20,0.3184080137842777,1463.9554918992915
20,0.3822841316484654,887.9229884856697
20,0.4589744949360234,522.4667250461537
20,0.5510497809401385,283.2180918828649
20,0.6615963728365803,186.34681178113684
20,0.7943198159043792,139.60353213251238
20,0.9536690281919291,84.01523774824155
20,1.1449854291964723,41.017598779318575
20,1.3746819853820282,27.533103011222707
