halo_idx,r_scaled,sigmar_scaled,sigmat_scaled,beta
20,0.0011003054494530783,0.37065390112146557,0.7529388783311745,-0.56325233
20,0.0013210387147392024,0.4972080141405166,0.7980973775268744,0.211734
20,0.0015860534787928678,0.502261399950962,0.8778770010324565,-0.027487636
20,0.001904233092886742,0.5200212818448722,0.9357234041995327,-0.11891019
20,0.0022862430053776014,0.5219074485072053,0.9052715143897718,-0.0043218136
20,0.002744888269804314,0.5953262068013867,0.9507680293758172,0.22470933
20,0.0032955427730067214,0.5864661015860578,0.9505591634744613,0.18646258
20,0.003956664571083289,0.573064297819068,0.9472774380574157,0.13378954
20,0.00475041460735845,0.6018893467305935,1.017565819432289,0.07090306
20,0.005703399551917563,0.6214401029397609,1.049942832286401,0.07274085
20,0.006847563662848714,0.6646923199271055,1.0880472105594123,0.16024864
20,0.008221259564569927,0.6802255632197504,1.130190243281087,0.11972004
20,0.009870533835959136,0.7078109099951249,1.1794926693193164,0.11156368
20,0.011850670501474531,0.7394727794340857,1.2077096504578861,0.16632277
20,0.014228044163416009,0.7512508513516846,1.2459887572759436,0.12460232
20,0.017082344892715387,0.7827330177674485,1.273047679901012,0.17738926
20,0.02050924945706801,0.7875205799017118,1.2759102433528775,0.18753892
20,0.024623628426541026,0.8038768506044028,1.2869678864722898,0.21847689
20,0.029563396659520607,0.8071288535144976,1.3019650675632113,0.19898313
20,0.0354941362381063,0.8035395188048031,1.2964243694369202,0.19848269
20,0.042614646814730386,0.8077555133995419,1.2972021290957945,0.21048772
20,0.05116360941880182,0.8056179801381523,1.306376434787322,0.18523443
20,0.06142758709559115,0.8252563493437504,1.3325594761719919,0.19633657
20,0.0737506305604739,0.8292660896381624,1.349645067552564,0.17559355
20,0.0885458108521064,0.847507998464883,1.3782728162244342,0.17763078
20,0.10630906556152198,0.8637325698585323,1.4246868115244138,0.1396513
20,0.1276358227656924,0.8919060864942595,1.4848287498151438,0.114251316
20,0.1532409599033448,0.907517739998756,1.549980360689569,0.04148072
20,0.18398276661879706,0.9491146372004521,1.6712478159633917,-0.050295353
20,0.2208917148134356,0.9187236225670614,1.8829698139494828,-0.60032713
20,0.26520500028308136,0.8741138083113924,1.9159243637169006,-0.9020982
20,0.3184080137842777,0.8607253112734559,1.808234000383906,-0.70673466
20,0.3822841316484654,0.8338666735749332,1.6793965086221823,-0.5280715
20,0.4589744949360234,0.8247224012952411,1.5909749107681828,-0.36072016
20,0.5510497809401385,0.7970669143779405,1.5044325463975938,-0.2812544
20,0.6615963728365803,0.7833331263753631,1.4174295453502428,-0.13711774
20,0.7943198159043792,0.7568272413587075,1.3353070048166207,-0.056462646
20,0.9536690281919291,0.7434706431619128,1.2560015112597847,0.073004305
20,1.1449854291964723,0.6103931549483729,0.9898340986373277,0.18515211
20,1.3746819853820282,0.46278126756437604,0.8064890734433305,-0.018502235
