halo_idx,r_scaled,sigma_rad_scaled,sigma_tan_scaled,sigma_total_scaled,beta
12,0.0011003054494530783,0.45717936411628624,0.5932511964952255,0.7489726176284485,0.15807384
12,0.0013210387147392024,0.40313945822559666,0.6741937835292834,0.7855308376709004,-0.39839184
12,0.0015860534787928678,0.4655538530614891,0.7471910253760388,0.8803606214605799,-0.2879336
12,0.001904233092886742,0.484599744880341,0.6996955843687531,0.8511232802800183,-0.04236996
12,0.0022862430053776014,0.4866297871978212,0.7072176554083671,0.8584668549680612,-0.056036234
12,0.002744888269804314,0.5151572667495293,0.7226065091601402,0.8874385285602643,0.016228855
12,0.0032955427730067214,0.5710009189086077,0.7849432144372798,0.9706585243565259,0.055128217
12,0.003956664571083289,0.5882687101406119,0.7977342690109768,0.9911811499035528,0.08053541
12,0.00475041460735845,0.650376711323445,0.8415284843214861,1.063560126141325,0.16289937
12,0.005703399551917563,0.6273619395821556,0.8559296783282759,1.061225044696219,0.06929976
12,0.006847563662848714,0.7047361046130511,0.921230627064103,1.1598788042875157,0.14561486
12,0.008221259564569927,0.7123867050660225,0.9588225005151471,1.1945021599996153,0.09423643
12,0.009870533835959136,0.7349487643068685,0.9834849771948853,1.2277590704543928,0.10465306
12,0.011850670501474531,0.761615517220285,1.0197080575445223,1.2727382246141343,0.10370666
12,0.014228044163416009,0.7840505520760331,1.065399752283419,1.3228046150953474,0.07677609
12,0.017082344892715387,0.806677869342209,1.0682883229212214,1.3386444957159132,0.1231069
12,0.02050924945706801,0.8135267111408047,1.0935647307285554,1.3629781538215262,0.09652656
12,0.024623628426541026,0.8393221730942588,1.1191511743573368,1.3989142553826508,0.11102378
12,0.029563396659520607,0.8726262812352527,1.1321563041506584,1.4294245494650575,0.1583603
12,0.0354941362381063,0.8834225111527407,1.1461292273159385,1.4470825042230422,0.15841061
12,0.042614646814730386,0.9033179613234885,1.1739783906311112,1.4812861376541457,0.155482
12,0.05116360941880182,0.915694470913402,1.1884754248374632,1.5003233003090928,0.15773404
12,0.06142758709559115,0.9222256915481227,1.1850090437502918,1.5015813835317344,0.17445856
12,0.0737506305604739,0.9239316711807775,1.1944748286864237,1.510105983995535,0.16431177
12,0.0885458108521064,0.9165005038480344,1.1722974546686937,1.4880370924147466,0.18194932
12,0.10630906556152198,0.9060701764009844,1.1457361139345694,1.4607102341067342,0.20050538
12,0.1276358227656924,0.8820159117414563,1.1032299018084997,1.4124689010940639,0.21774346
12,0.1532409599033448,0.8682397860713823,1.0868143779792585,1.3910448840218854,0.21656793
12,0.18398276661879706,0.8383693698037645,1.059724591722675,1.3512510940261317,0.20111322
12,0.2208917148134356,0.8293373340120068,1.1103255682416457,1.3858655399709354,0.103793204
12,0.26520500028308136,0.8095988281881548,1.1067374604688498,1.37124689948122,0.06562871
12,0.3184080137842777,0.8146733620711165,1.0301199634456766,1.31333160602357,0.20057344
12,0.3822841316484654,0.7856549122006097,0.9471166315176458,1.2305622758893189,0.27337003
12,0.4589744949360234,0.8159588970092105,0.8394447425957087,1.1706649204151003,0.47080266
12,0.5510497809401385,0.77786127386186,0.7741755800567212,1.0974589010481937,0.504727
12,0.6615963728365803,0.6712710186494263,0.7485943739262828,1.0054840956655655,0.37817627
12,0.7943198159043792,0.5455716604312436,0.7240924536612631,0.9066192107100327,0.11924642
12,0.9536690281919291,0.4452077071281656,0.6739905445131269,0.8077581184257138,-0.14591467
12,1.1449854291964723,0.3882069591426548,0.48826241175311025,0.6237826813755253,0.20904833
12,1.3746819853820282,0.34712691179524247,0.46251797025765157,0.578290553383832,0.11233187
