halo_idx,r_scaled,sigma_rad_scaled,sigma_tan_scaled,sigma_total_scaled,beta
4,0.0011003054494530783,0.34379102013507773,0.5503575593322738,0.6489111714092552,-0.28135896
4,0.0013210387147392024,0.4579137431989686,0.656023044387172,0.800032041494394,-0.026220918
4,0.0015860534787928678,0.4516857071404403,0.6410363480035891,0.7841859077854006,-0.0070769787
4,0.001904233092886742,0.47409400844111366,0.6659995143821595,0.8175087137970518,0.013291478
4,0.0022862430053776014,0.527497045166204,0.702409213061006,0.8784257669166415,0.11343551
4,0.002744888269804314,0.5305639312248881,0.739299229126729,0.9099787819880859,0.029188156
4,0.0032955427730067214,0.5565607723765381,0.7490650475294555,0.9331978802088211,0.094300985
4,0.003956664571083289,0.5723004688111504,0.7806376987166609,0.9679478772218083,0.06970465
4,0.00475041460735845,0.6209101232615885,0.8068358762142809,1.018093118266786,0.15572697
4,0.005703399551917563,0.6396443538135228,0.8729108764747275,1.0821822244585833,0.068822145
4,0.006847563662848714,0.6888206504616358,0.9328087569660315,1.1595714911074817,0.083055794
4,0.008221259564569927,0.7119325174949537,0.9516809166761147,1.188505175362493,0.106540084
4,0.009870533835959136,0.7420497143767357,1.0076571843340052,1.2514035178551224,0.07800281
4,0.011850670501474531,0.7711627700503833,1.0199418770903228,1.2786607753429793,0.1253612
4,0.014228044163416009,0.8260292002112585,1.0313804702602374,1.3213893866592263,0.22049844
4,0.017082344892715387,0.8366199471860905,1.0558316156580205,1.3471129100162946,0.20365196
4,0.02050924945706801,0.8405433066281834,1.0482749396697115,1.3436493320772094,0.22232121
4,0.024623628426541026,0.8366784850406233,1.0363885795474028,1.3319655785617288,0.2328186
4,0.029563396659520607,0.8285740090573641,1.0238384022717937,1.3171104071044697,0.23656821
4,0.0354941362381063,0.8268699541165514,1.0040165108603207,1.3006778892269688,0.26281363
4,0.042614646814730386,0.8158174143923533,0.9929887412228507,1.2851399525586127,0.2592482
4,0.05116360941880182,0.7990430375614822,0.9856905633191152,1.2688796608824227,0.23912925
4,0.06142758709559115,0.7911752535180702,0.9821637899023518,1.2611915128953257,0.22946483
4,0.0737506305604739,0.7870887714108142,0.9808031288134459,1.2575704226098665,0.22359866
4,0.0885458108521064,0.7951488411915841,0.9930727901496121,1.2721851971997764,0.22010648
4,0.10630906556152198,0.7809020188301662,0.9975513065141237,1.2668529596837148,0.18408036
4,0.1276358227656924,0.7642519687807577,0.9841912320865601,1.2460792194694224,0.17080653
4,0.1532409599033448,0.7489234134438046,0.9746428929282056,1.22915214669793,0.15318954
4,0.18398276661879706,0.7450571628127793,0.9641493738365353,1.2184802618108024,0.16270316
4,0.2208917148134356,0.7234944847506873,0.9278825795041975,1.1766097117040364,0.17759526
4,0.26520500028308136,0.6914207685825938,0.9409770635573979,1.1676902575253918,0.07393128
4,0.3184080137842777,0.6690476640931903,0.9565355361096227,1.1672981703406005,-0.022017002
4,0.3822841316484654,0.6211086544481641,0.9582489062967264,1.1419356127773062,-0.19012213
4,0.4589744949360234,0.606409354583671,0.9095096323112515,1.093133143314153,-0.12474179
4,0.5510497809401385,0.5741492805622229,0.8751356854397251,1.0466660484381665,-0.16163886
4,0.6615963728365803,0.5428167086771521,0.8851677822747795,1.0383506032974317,-0.3295809
4,0.7943198159043792,0.5062751145792317,0.8511782480953617,0.9903630061745926,-0.41331136
4,0.9536690281919291,0.499848706116735,0.7678407732694131,0.9162031660466479,-0.17987275
4,1.1449854291964723,0.4758485562510261,0.5657430646976874,0.7392543995039539,0.29324162
4,1.3746819853820282,0.39568982983055667,0.5020631412847268,0.6392478736432647,0.19503516
