halo_idx,r_scaled,sigma_rad_scaled,sigma_tan_scaled,sigma_total_scaled,beta
5,0.0011003054494530783,0.3528133837765969,0.5221357836799514,0.630161111963079,-0.0950824
5,0.0013210387147392024,0.36418803888728096,0.5030557097485071,0.6210458851420465,0.04599464
5,0.0015860534787928678,0.39254108039503294,0.5334103132080152,0.6622802140030266,0.07674301
5,0.001904233092886742,0.42528101531583445,0.5594959670302072,0.7027799720245758,0.13460988
5,0.0022862430053776014,0.3954014430757674,0.5668418110960383,0.6911237080597923,-0.027583718
5,0.002744888269804314,0.47381867783268034,0.6087046156668978,0.7713789753616165,0.17480075
5,0.0032955427730067214,0.48683893804742245,0.6439403638910619,0.8072616506225385,0.12523639
5,0.003956664571083289,0.4918299767442224,0.6857078366063825,0.8438554255497298,0.028107524
5,0.00475041460735845,0.5151160939510026,0.697947126321455,0.8674530445691061,0.08208001
5,0.005703399551917563,0.5590612754763926,0.7288315722949552,0.9185558937604705,0.15022188
5,0.006847563662848714,0.576160997437223,0.7810348079706535,0.9705548985729743,0.08119559
5,0.008221259564569927,0.5916844876651514,0.7946034976977874,0.9906994060356435,0.09824073
5,0.009870533835959136,0.6281360336143207,0.8304275628615658,1.0412323443904317,0.12609118
5,0.011850670501474531,0.6524448427476471,0.8650522013305596,1.0835125650080775,0.12104422
5,0.014228044163416009,0.6829403636938061,0.9092219644473192,1.1371420701619492,0.11377436
5,0.017082344892715387,0.7136376734157786,0.9555282826793947,1.1926076632355957,0.10360062
5,0.02050924945706801,0.7373715518662455,0.9697267596077793,1.2182310389613362,0.13523918
5,0.024623628426541026,0.7554860063577138,1.0026454643696368,1.2554110957553244,0.11933255
5,0.029563396659520607,0.7679274918631634,1.0211510598566256,1.2776784102858316,0.11588341
5,0.0354941362381063,0.7774157249197206,1.0249211000867753,1.2864052547656073,0.1309511
5,0.042614646814730386,0.7862508352733865,1.034613654454208,1.2994675279280705,0.13422674
5,0.05116360941880182,0.7993622215265114,1.025970021840747,1.3006131382527928,0.17633224
5,0.06142758709559115,0.8120425341330529,1.0326898322840796,1.313720454360283,0.19136548
5,0.0737506305604739,0.8074267176399567,1.0096847360214738,1.292826768757737,0.21812856
5,0.0885458108521064,0.8023204938216871,0.9880577006231877,1.2727828391160918,0.24170381
5,0.10630906556152198,0.7988757938992923,0.9517513684255058,1.2425913128250248,0.29032665
5,0.1276358227656924,0.7745589349223767,0.912084000410148,1.19659468745193,0.30668473
5,0.1532409599033448,0.7593906779607004,0.8807253372463336,1.1629063633743404,0.3274563
5,0.18398276661879706,0.7443580472963492,0.8722639567096385,1.1466966918161967,0.3134027
5,0.2208917148134356,0.694986728505781,0.8730410831828751,1.1158885836852723,0.21098304
5,0.26520500028308136,0.6787531787599123,0.8972471437508388,1.1250592549346212,0.1262837
5,0.3184080137842777,0.6490745360426915,0.9356678713820462,1.138759003351201,-0.039020896
5,0.3822841316484654,0.6266109952687385,0.9077709123046126,1.1030364204852545,-0.049364805
5,0.4589744949360234,0.6026537110467521,0.8751653374136055,1.0625939158456372,-0.05442226
5,0.5510497809401385,0.5860066797282111,0.8828552896809528,1.0596401659345003,-0.13486421
5,0.6615963728365803,0.48814947971804185,0.8706653843995846,0.9981723743168067,-0.5906216
5,0.7943198159043792,0.46923117146366733,0.8446917952538754,0.9662722913358607,-0.6202903
5,0.9536690281919291,0.5019151192700678,0.8735103257507466,1.007441814433564,-0.5144173
5,1.1449854291964723,0.44108398887736394,0.643557905872896,0.7802063072147355,-0.06439459
5,1.3746819853820282,0.4439474720030852,0.5813654474368164,0.7314882920224202,0.14255702
