m_scaled,slope_Q_r,slope_Q_tot
1.920574524161018e-05,0.18552085185145412,-0.15733674612663381
6.166055051253794e-05,0.13222663732540485,-0.20607189913270732
0.0001147290571011,-0.5021793613568419,-0.5537944587918763
0.0001940791098099,-0.7130402855753688,-0.7501824966577061
0.0003042594377749,-0.8685533383860249,-0.8595485430564419
0.0004745840732071,-0.9643029401471348,-0.9085674347954672
0.0007414428491958,-1.0504926496701859,-0.991884679214122
0.0011235360966341,-1.0927253882610979,-1.0431251702740951
0.0016911164099586,-1.146977642429175,-1.0863887993832926
0.0024280105300182,-1.2418210375004057,-1.1559086897404227
0.0034120522664765,-1.2990171895934295,-1.2152551723443077
0.0048181149839018,-1.31988178037832,-1.2515856839050552
0.00661789547878,-1.3344085977157571,-1.2739914983376877
0.0090186136339813,-1.342282026843171,-1.2872716020246258
0.012132976849213,-1.3423596537335598,-1.2900650654068495
0.0160216348462905,-1.328735304584564,-1.2853863420697709
0.0210702187730917,-1.3064227466651128,-1.268503092172149
0.0273080426618273,-1.2810968053457317,-1.2480064777081328
0.0351909902548114,-1.2514895218195794,-1.221002116513432
0.0450622378946505,-1.220121564113892,-1.1928490813311434
0.0571340596076995,-1.1905597692691836,-1.166587092595738
0.0717789457687757,-1.1614115622572885,-1.1422045549429456
0.089469964208041,-1.1338992561825856,-1.1193582871392964
0.111359459639992,-1.1091198438137506,-1.0993797548714674
0.138878765499477,-1.0905670792432205,-1.08555138670472
0.1733121396459418,-1.079921869689747,-1.0795619922262354
0.2148683182053016,-1.0763234965210935,-1.0809562731933324
0.2641431846943948,-1.0771265790134072,-1.0870761231581993
0.3178763111512839,-1.0800583132887571,-1.0953395536180794
0.3772614862670396,-1.0839855907285125,-1.1043968986998123
0.4456506180006712,-1.0881448061876748,-1.1132745949843044
0.5216457302643288,-1.0915786587786562,-1.120562117189301
0.6028991734093999,-1.0937333619617617,-1.1252769156316704
0.6882196858165562,-1.0943334023140618,-1.1274857229104684
0.7718799120890102,-1.094160769487867,-1.1284249181865416
0.8558610764727385,-1.0943031203983868,-1.1291187849754791
0.9488699519487204,-1.0949210444062767,-1.1302239356409487
1.0194343870381386,-1.097878749587683,-1.1345299588562614
1.086014640818619,-1.1093680803015937,-1.1474558569196698
1.1594725730529905,-1.131002927936801,-1.16777933920058
