halo_id,rvir
000,2546.7197
001,2599.1265
002,2610.3738
003,2592.5422
004,2563.3022
005,2538.8975
006,2619.7158
007,2652.4053
008,2593.994
009,2632.582
010,2567.482
011,2644.5625
012,2614.6638
013,2612.5854
014,2638.7131
015,2625.0063
016,2611.0247
017,2584.597
018,2642.5308
019,2640.6233
020,2636.1619
021,2560.1924
022,2570.3054
023,2557.6177
024,2654.4216
025,2585.3938
026,2633.094
027,2627.7078
028,2619.5867
029,2544.3916
030,2647.9834
031,2634.5012
032,2511.4846
033,2613.1055
034,2652.7834
035,2642.6577
036,2568.8271
037,2617.516
038,2576.0679
039,2591.75
040,2619.7158
041,2614.9236
042,2586.19
043,2550.4082
044,2593.3342
045,2617.257
046,2639.8596
047,2562.6267
048,2501.0312
049,2539.1726
050,2566.6738
051,2576.8699
052,2610.3738
053,2552.4526
054,2600.1768
055,2570.8425
056,2534.4849
057,2577.0037
058,2500.4636
059,2589.767
060,2539.8606
061,2569.2305
062,2575.934
063,2531.8574
064,2502.1653
065,2529.086
066,2548.4968
067,2528.1147
068,2540.548
069,2519.058
070,2530.611
071,2480.7234
072,2500.3218
073,2558.2957
074,2538.7598
075,2478.7031
076,2494.6313
077,2490.3464
078,2494.0608
079,2492.205
080,2480.1465
