halo_id,delta_J_tot
0,0.5394124920877966
1,0.26143793443806607
2,0.2714559860921353
3,0.39815078934422243
4,0.4250740829166999
5,0.2881137097843069
6,0.39581709428009065
7,0.26978015556927953
8,0.4770024663120148
9,0.5856327755713262
10,0.28297872331610274
11,0.5652406001600004
12,0.23299498591160467
13,0.4978391704067001
14,0.17956495521825772
15,0.624889840490719
16,0.2621499339705388
17,0.29155416328903394
18,0.1512297672358355
19,0.3497189555947052
20,0.42615094489012867
21,0.4857784117104372
22,0.22211960805288633
23,0.49684208439682803
24,0.2500803079291635
25,0.6273704289788251
26,0.41378283353899625
27,0.46267041920411917
28,0.24865155037435444
29,0.5368160118940193
30,0.2677143539208026
31,0.28802759682461776
32,0.17769889074070438
33,0.6459074345904748
34,0.23475585373834185
35,0.331891184265405
36,0.1370300348502295
37,0.4775395431352329
38,0.4838452156691313
39,0.14460483247439332
40,0.2114810656391367
41,0.2550790680233675
42,0.21858605757118627
43,0.1673669784779736
44,0.262503254956414
45,0.80328761830821
46,0.49669511750076006
47,0.49460139534635794
48,0.20278997031209983
49,0.24482193669375488
50,0.1290370929561923
51,0.49480884596346264
52,0.418288734907178
53,0.43073691000346054
54,0.527676703122366
55,0.6600740389741558
56,0.22836807566905332
57,0.5701253733623878
58,0.5025113532187577
59,0.5022177418293441
60,0.49283820766737624
61,0.24528282701253423
62,0.49855128326805753
63,0.639286573235614
64,0.38574313157324996
65,0.4761139278777845
66,0.5878075898932579
67,0.5501783803963465
68,0.9366549847845534
69,0.43643128636239026
70,0.46891132223101684
71,0.6796921655620697
