halo_id,vvir
000,1223.522209474514
001,1248.7001179374017
002,1254.1036013519454
003,1245.5369424734997
004,1231.489034151536
005,1219.7641731159442
006,1258.5919914116046
007,1274.2968170663075
008,1246.2341059516468
009,1264.773113632409
010,1233.4969802251087
011,1270.528799404549
012,1256.164797304806
013,1255.1663066702945
014,1267.7187488978745
015,1261.1335380593403
016,1254.4163126838166
017,1241.7197295541878
018,1269.5528207842506
019,1268.6364566197003
020,1266.4930738807493
021,1229.9949424494787
022,1234.8535946357551
023,1228.7580301600326
024,1275.2656223894196
025,1242.1024952837026
026,1265.0190806995245
027,1262.431362832015
028,1258.5298254012987
029,1222.4038484909672
030,1272.172504367791
031,1265.695063809232
032,1206.594225030273
033,1255.4160060929808
034,1274.4786000413615
035,1269.6139034930923
036,1234.1433492688311
037,1257.535088653324
038,1237.6220545060987
039,1245.156226045834
040,1258.5919914116046
041,1256.289426654178
042,1242.4850832636791
043,1225.2943074107677
044,1245.9173240438329
045,1257.4106537498458
046,1268.269579085351
047,1231.1645195551337
048,1201.5720216737282
049,1219.8964818386623
050,1233.1089144693842
051,1238.0073048739534
052,1254.1036013519454
053,1226.2765726476753
054,1249.2047668727892
055,1235.111610788643
056,1217.6442016809835
057,1238.07151683109
058,1201.2994205636937
059,1244.2035744102357
060,1220.2269896181178
061,1234.337161648959
062,1237.557817812375
063,1216.3820684573398
064,1202.1170567974418
065,1215.05057416559
066,1224.3760929935202
067,1214.5838092340941
068,1220.5572997216643
069,1210.2328248740644
070,1215.7832262489203
071,1191.815622444816
072,1201.2312025910658
073,1229.0837284401557
074,1219.6980785453666
075,1190.8450015304531
076,1198.4973942506736
077,1196.4388942789635
078,1198.2233952047955
079,1197.3317176718206
080,1191.5384269305093
