halo_id,mvir
000,886428640000000.0
001,942285760000000.0
002,954571450000000.0
003,935142900000000.0
004,903857200000000.0
005,878285700000000.0
006,964857160000000.0
007,1001428600000000.0
008,936714250000000.0
009,979142900000000.0
010,908285700000000.0
011,992571440000000.0
012,959285800000000.0
013,957000050000000.0
014,986000000000000.0
015,970714300000000.0
016,955285700000000.0
017,926571400000000.0
018,990285700000000.0
019,988142860000000.0
020,983142840000000.0
021,900571400000000.0
022,911285760000000.0
023,897857200000000.0
024,1003714300000000.0
025,927428600000000.0
026,979714250000000.0
027,973714250000000.0
028,964714300000000.0
029,884000030000000.0
030,996428600000000.0
031,981285740000000.0
032,850142900000000.0
033,957571400000000.0
034,1001857160000000.0
035,990428600000000.0
036,909714300000000.0
037,962428550000000.0
038,917428640000000.0
039,934285700000000.0
040,964857160000000.0
041,959571460000000.0
042,928285800000000.0
043,890285800000000.0
044,936000000000000.0
045,962142900000000.0
046,987285800000000.0
047,903142840000000.0
048,839571400000000.0
049,878571460000000.0
050,907428600000000.0
051,918285700000000.0
052,954571450000000.0
053,892428600000000.0
054,943428600000000.0
055,911857100000000.0
056,873714260000000.0
057,918428600000000.0
058,839000050000000.0
059,932142900000000.0
060,879285800000000.0
061,910142900000000.0
062,917285760000000.0
063,871000040000000.0
064,840714300000000.0
065,868142900000000.0
066,888285740000000.0
067,867142900000000.0
068,880000000000000.0
069,857857100000000.0
070,869714300000000.0
071,819285750000000.0
072,838857200000000.0
073,898571400000000.0
074,878142900000000.0
075,817285700000000.0
076,833142860000000.0
077,828857200000000.0
078,832571500000000.0
079,830714250000000.0
080,818714250000000.0
