r_scaled,m_scaled,Q_r,Q_tot
0.001100305449453,1.236396283732162e-05,70472053.3025151,11780598.92636689
0.0013210387147392,2.7818916383973648e-05,16499191.661738398,5572832.876539976
0.0015860534787928,5.357717229506036e-05,38562419.639412865,7658186.186774645
0.0019042330928867,9.685104222568604e-05,24887601.590607163,5152118.846877228
0.0022862430053776,0.0001710348192496,29948598.747696042,3751320.4522550665
0.0027448882698043,0.0002931289522681,13665172.598995063,2824887.7566858954
0.0032955427730067,0.0004641637715177,12886223.924252821,2528916.0729730027
0.0039566645710832,0.0007268979818108,11039231.670095025,1914604.7183389866
0.0047504146073584,0.00109215005063,7533733.555463468,1521545.2656027859
0.0057033995519175,0.0016186488014526,5598918.909980155,1014014.0007665275
0.0068475636628487,0.0023589410763373,3288907.420701119,637536.2663568213
0.0082212595645699,0.0034073020919185,2471224.251216092,497091.3325140013
0.0098705338359591,0.0048683103671953,1750706.8533019854,356710.90507866815
0.0118506705014745,0.0068836363096788,1215297.088734435,255212.70466231575
0.014228044163416,0.0096325573805099,884965.5140451746,182312.97732740676
0.0170823448927153,0.0133922324132922,579240.6371798982,123453.32518454506
0.020509249457068,0.0185650053653566,448834.0218371267,98442.27154480488
0.024623628426541,0.025382700539903,303615.98565975664,67628.81238280411
0.0295633966595206,0.0342409647477257,211918.0123828434,49902.99329350967
0.0354941362381063,0.0458579381636258,156047.6737765363,37172.85817924813
0.0426146468147303,0.0607029362103033,107947.16229271491,27148.20787551849
0.0511636094188018,0.0796847101563014,81261.47053349104,20485.31490955842
0.0614275870955911,0.1032421806823448,59263.314600806676,15294.791342123375
0.0737506305604739,0.1317704794341098,42335.948095431064,11435.018279178079
0.0885458108521064,0.1653056679698718,29427.030899759156,8264.253954634092
0.1063090655615219,0.2044334890290489,21347.684274625546,6070.275084248084
0.1276358227656924,0.2497242303975127,15163.965493265192,4387.621483561456
0.1532409599033448,0.2990219260555051,10339.124180554389,3063.6033798447256
0.183982766618797,0.3537638866828648,7313.99783195636,2203.3865298622422
0.2208917148134356,0.4115592309659247,4744.543813043788,1435.4126219294235
0.2652050002830813,0.472828848806272,3122.8255455566427,945.1182970464841
0.3184080137842777,0.5401279591902866,2220.0500712668522,667.858474183795
0.3822841316484654,0.6215956558207534,2100.0185348212995,530.5911108909996
0.4589744949360234,0.7041838365833525,1611.275102983366,406.6982756776866
0.5510497809401385,0.785028183420771,1113.8916610827018,307.52657837520144
0.6615963728365803,0.867272233884398,903.4282396933912,231.3639544233665
0.7943198159043792,0.9439643498689492,685.8212532836599,165.52715719048044
0.9536690281919292,1.01649650752386,561.640546093419,114.37214317664484
1.1449854291964725,1.06119738483196,207.03768290138433,55.51927857383778
1.3746819853820282,1.1166595462945936,297.5730652833452,70.63482298858156
