halo_id,r_scaled,delta_J
16,0.001100305449453,1.7102899525565036
16,0.0013210387147392,0.010379808965885844
16,0.0015860534787928,0.5107487525716531
16,0.0019042330928867,4.496094945648934
16,0.0022862430053776,0.7069292221037933
16,0.0027448882698043,1.3952825136433518
16,0.0032955427730067,0.686188471677701
16,0.0039566645710832,0.3094722139092673
16,0.0047504146073584,0.2795402290747283
16,0.0057033995519175,0.07795594711920936
16,0.0068475636628487,0.2745658316518025
16,0.0082212595645699,0.1899096654049157
16,0.0098705338359591,0.1481520163550063
16,0.0118506705014745,0.004775016129939708
16,0.014228044163416,0.0602256127422252
16,0.0170823448927153,0.26064841345275697
16,0.020509249457068,0.057517936255929325
16,0.024623628426541,0.1744544488767958
16,0.0295633966595206,0.058760896193924245
16,0.0354941362381063,0.10315057490106228
16,0.0426146468147303,0.019222439874655405
16,0.0511636094188018,0.0784686446630487
16,0.0614275870955911,0.12177902832346109
16,0.0737506305604739,0.0683142614062247
16,0.0885458108521064,0.01586824886139237
16,0.1063090655615219,0.054760254677972325
16,0.1276358227656924,0.21155358158402843
16,0.1532409599033448,0.3387865020412498
16,0.183982766618797,0.013720347571154524
16,0.2208917148134356,0.18080001164546564
16,0.2652050002830813,0.09658011718307151
16,0.3184080137842777,0.23003168085669942
16,0.3822841316484654,0.006134671370737906
16,0.4589744949360234,0.008691947208937779
16,0.5510497809401385,0.08874991003808129
16,0.6615963728365803,0.267255742658563
16,0.7943198159043792,0.21872451695442002
16,0.9536690281919292,0.6241992894451953
16,1.1449854291964725,1.4807594708340082
16,1.3746819853820282,2.7320940821945006
