r_scaled,slope_Q_r,slope_Q_tot
0.001100305449453,-1.7695020406669855,-0.8688929878127694
0.0013210387147392,-1.8016917720094465,-0.9060154668715061
0.0015860534787928,-1.5897388320677923,-1.164192601690132
0.0019042330928867,-1.6434465250281844,-1.3565679381276323
0.0022862430053776,-1.677646191246521,-1.4245731174278764
0.0027448882698043,-1.71802208483972,-1.5947360834749311
0.0032955427730067,-1.792606708521086,-1.6848965479833198
0.0039566645710832,-1.8575915254736792,-1.7841663838946473
0.0047504146073584,-1.9039044463849075,-1.8517726926665152
0.0057033995519175,-1.983072212750054,-1.9125823579945251
0.0068475636628487,-2.003647956755671,-1.9424085549783376
0.0082212595645699,-2.034582758666802,-1.9759199664610254
0.0098705338359591,-2.0628355208092874,-1.9972990323213633
0.0118506705014745,-2.0959391681098243,-2.020789625079482
0.014228044163416,-2.1181139834298444,-2.0323139617104133
0.0170823448927153,-2.1263384793159616,-2.033133760528443
0.020509249457068,-2.1217465049509934,-2.022883136352353
0.024623628426541,-2.1066792947352124,-2.004560328226951
0.0295633966595206,-2.0863232951250614,-1.9825543480953813
0.0354941362381063,-2.064917508767799,-1.9588587811282157
0.0426146468147303,-2.0453688832007013,-1.9371024248428483
0.0511636094188018,-2.0248033922936326,-1.9147904903709931
0.0614275870955911,-2.005021519546532,-1.8924394534370634
0.0737506305604739,-1.9884611433892745,-1.8726372256074468
0.0885458108521064,-1.973418814742434,-1.8541573366320312
0.1063090655615219,-1.9579722187345543,-1.83515679944788
0.1276358227656924,-1.9393647415361013,-1.8122210043192557
0.1532409599033448,-1.9162513376109005,-1.7839791069996866
0.183982766618797,-1.8910000959994693,-1.7518026891563139
0.2208917148134356,-1.864892635461075,-1.716766544728143
0.2652050002830813,-1.8394403252806713,-1.6790477465043663
0.3184080137842777,-1.8141658320131824,-1.6369728894935212
0.3822841316484654,-1.786051947581134,-1.587649327825623
0.4589744949360234,-1.7530932389511094,-1.529532959188987
0.5510497809401385,-1.7120902803909357,-1.4624709979596808
0.6615963728365803,-1.6635201347079747,-1.3869418570657355
0.7943198159043792,-1.6095135471684887,-1.3055551593032595
0.9536690281919292,-1.5532504006057453,-1.2222741175097995
1.1449854291964725,-1.4943194503497317,-1.135084033738615
1.3746819853820282,-1.435114546603171,-1.0435170628776622
