halo_id,r_scaled,delta_J
17,0.001100305449453,16.87596861506264
17,0.0013210387147392,64.10805757208175
17,0.0015860534787928,24.301017728976092
17,0.0019042330928867,31.80435208438996
17,0.0022862430053776,10.060901380057762
17,0.0027448882698043,4.171276837584376
17,0.0032955427730067,2.6179579793850274
17,0.0039566645710832,0.8610820211838309
17,0.0047504146073584,1.3909121517663703
17,0.0057033995519175,0.8563471021411536
17,0.0068475636628487,0.6611439275630088
17,0.0082212595645699,0.1645244352305468
17,0.0098705338359591,0.2359913509892071
17,0.0118506705014745,0.3857771333769887
17,0.014228044163416,0.12927548619814444
17,0.0170823448927153,0.2047198668259677
17,0.020509249457068,0.13156249860456326
17,0.024623628426541,0.2877882344645973
17,0.0295633966595206,0.07950771468597966
17,0.0354941362381063,0.04233786398104762
17,0.0426146468147303,0.16864222270898696
17,0.0511636094188018,0.10938992390193272
17,0.0614275870955911,0.05394876808725256
17,0.0737506305604739,0.10627558428756637
17,0.0885458108521064,0.0070120628964958215
17,0.1063090655615219,0.1798953393876504
17,0.1276358227656924,0.34414259991296897
17,0.1532409599033448,0.1786674291491193
17,0.183982766618797,0.1047829589192286
17,0.2208917148134356,0.45476090849694306
17,0.2652050002830813,0.18435002857267396
17,0.3184080137842777,0.21406068380293444
17,0.3822841316484654,0.07007955260254589
17,0.4589744949360234,0.09576704977707845
17,0.5510497809401385,0.03230753922842502
17,0.6615963728365803,0.4208006789991641
17,0.7943198159043792,0.861467998187863
17,0.9536690281919292,0.2858633192549994
17,1.1449854291964725,3.3440663861671043
17,1.3746819853820282,1.7920402578326402
