r_scaled,slope_Q_r,slope_Q_tot
0.001100305449453,-1.6720495930113914,-2.1693446573479487
0.0013210387147392,-1.7079005210466103,-2.1934726537469413
0.0015860534787928,-1.5098462002902036,-1.7324607342859082
0.0019042330928867,-1.683595500356176,-1.767216451871159
0.0022862430053776,-1.6167315464453207,-1.8497461637241468
0.0027448882698043,-1.4691884507529518,-1.535866893639826
0.0032955427730067,-1.2435689749510686,-1.3116641449778674
0.0039566645710832,-1.3017167151880202,-1.380609560704607
0.0047504146073584,-1.4146137271935675,-1.457323795767687
0.0057033995519175,-1.477488079251151,-1.5047856665108101
0.0068475636628487,-1.5798151401580598,-1.609007549155216
0.0082212595645699,-1.6812426869122554,-1.698012778637401
0.0098705338359591,-1.7764129332534362,-1.765918066864693
0.0118506705014745,-1.8192967685055832,-1.8150685180879913
0.014228044163416,-1.8652291593223458,-1.8485601965814615
0.0170823448927153,-1.903979665484833,-1.8707548674554202
0.020509249457068,-1.9316584043761735,-1.883669957890492
0.024623628426541,-1.950063394492532,-1.8890981408755447
0.0295633966595206,-1.962273904340083,-1.8949248477605651
0.0354941362381063,-1.9809875846019833,-1.9106730607305082
0.0426146468147303,-1.9916465419905305,-1.9204470934990854
0.0511636094188018,-1.9950446160123856,-1.9246897815052206
0.0614275870955911,-1.9931861783365163,-1.9286060167849992
0.0737506305604739,-1.9911120732556187,-1.9345329867667396
0.0885458108521064,-1.982837208223666,-1.9362975721669646
0.1063090655615219,-1.966736009180221,-1.931591123914966
0.1276358227656924,-1.9470475652791928,-1.9237889171476465
0.1532409599033448,-1.9251311282093175,-1.9131618999671223
0.183982766618797,-1.899584708329077,-1.8988568671623725
0.2208917148134356,-1.8724049051454867,-1.8838551378410022
0.2652050002830813,-1.8439831345553976,-1.8689162129356582
0.3184080137842777,-1.8136324822351586,-1.8533834028106964
0.3822841316484654,-1.7808492756789578,-1.8369293363201242
0.4589744949360234,-1.7448058089207392,-1.819096756413997
0.5510497809401385,-1.7047589324463719,-1.799331244836519
0.6615963728365803,-1.6605813390793114,-1.7778372978413213
0.7943198159043792,-1.6111807452359757,-1.7539438157342935
0.9536690281919292,-1.5588547838928941,-1.7270007326548693
1.1449854291964725,-1.5036743903811411,-1.6991375262365755
1.3746819853820282,-1.4473521520008414,-1.6701109888521415
