gamma,beta
-3.183453237410072, 0.3505184306163316
-3.1402877697841727, 0.3494964028776978
-3.1079136690647484, 0.3489876140324853
-3.0611510791366907, 0.3479663279685529
-3.0323741007194243, 0.3469413335311132
-3.0035971223021583, 0.34643180301119925
-2.9784172661870505, 0.345406066899058
-2.949640287769784, 0.34438107246161825
-2.9244604316546763, 0.34335533634947707
-2.8776978417266186, 0.3423340502855447
-2.8489208633093526, 0.3407935919305792
-2.8201438848920866, 0.3397685974931395
-2.7949640287769784, 0.33874286138099824
-2.7661870503597124, 0.3372024030260327
-2.737410071942446, 0.33566194467106725
-2.712230215827338, 0.334636208558926
-2.68705035971223, 0.33361047244678477
-2.661870503597122, 0.33155380849959204
-2.6330935251798557, 0.3300133501446265
-2.5899280575539567, 0.32744493065341534
-2.5611510791366907, 0.3253890083809241
-2.514388489208633, 0.32230586664688865
-2.474027541507085, 0.31920379160044743
-2.429801469260523, 0.31552858039053233
-2.402877697841727, 0.3135659719646962
-2.3741007194244603, 0.3104791218571534
-2.328713304125524, 0.3059131609201465
-2.284172661870503, 0.30121931320922635
-2.2625899280575537, 0.29864644366980636
-2.241007194244604, 0.2960735741303864
-2.2122302158273377, 0.29298672402284354
-2.176258992805755, 0.28835496551212636
-2.14729615062432, 0.2852637435248452
-2.1151079136690645, 0.28012015130163903
-2.0935251798561145, 0.2765163539271675
-2.0611510791366903, 0.27188385374174884
-2.043165467625899, 0.26879477861010154
-2.007194244604316, 0.2631320922643328
-1.978063731313496, 0.2587877820900981
-1.9568345323741005, 0.2543795891122153
-1.9322581564866996, 0.2492660724679867
-1.9085656177831845, 0.24422543736517954
-1.8848730790796688, 0.23943000511138293
-1.8561151079136686, 0.23481272713787726
-1.8417266187050356, 0.23172291033152856
-1.8273381294964026, 0.2286330935251798
-1.8093525179856114, 0.22502855447600678
-1.7822054113644357, 0.21944827975068362
-1.7625899280575537, 0.2147289178966105
-1.7446043165467624, 0.21163984276496323
-1.7194244604316542, 0.20545946747756427
-1.6945430181614287, 0.19937858260967795
-1.6762589928057552, 0.19515908922346653
-1.6574247075259212, 0.19010625112243207
-1.6463681894642805, 0.18663796741549685
-1.612408883989242, 0.17902481925720642
-1.5935251798561145, 0.17455759104056956
-1.5752905733537346, 0.1694695614057175
-1.551598034650219, 0.16409884554462684
-1.5354081332028167, 0.1586982901115951
-1.5143884892086326, 0.1539553511829711
-1.4899974340210789, 0.1477018175733011
-1.4748201438848918, 0.14365423125417187
-1.4604316546762584, 0.13953348661277154
-1.4388489208633088, 0.13283690573314538
-1.4244604316546758, 0.12974708892679665
-1.4100719424460428, 0.12562634428539637
-1.3848920863309346, 0.11996143291552319
-1.3705035971223016, 0.11584068827412292
-1.3489208633093521, 0.10965957131202253
-1.3345323741007191, 0.1055388266706222
-1.309352517985611, 0.09935845138322325
-1.294964028776978, 0.09523770674182302
-1.266187050359712, 0.08854260921159973
-1.2553956834532367, 0.08545205073054957
-1.2410071942446037, 0.08133130608914924
-1.2266187050359707, 0.07875695320032627
-1.2122302158273377, 0.074636208558926
-1.1942446043165464, 0.07103166950975304
-1.1762589928057552, 0.0669116665430542
-1.1546762589928057, 0.061246013498479523
-1.1294964028776975, 0.05609656604613217
-1.1079136690647475, 0.05146184083660904
-1.0899280575539563, 0.047857301787436024
-1.057553956834532, 0.041678409849440046
-1.031941685753115, 0.0371720536384631
-0.9912694943120801, 0.03138044919033517
-0.9748201438848914, 0.028293406511903818
-0.949640287769784, 0.024690350812133777
-0.915908996205129, 0.020674529136989528
-0.8848920863309346, 0.016971742193873707
-0.8566168993471011, 0.01302571510975209
-0.7808007754958517, 0.007609161106771067
-0.7321520960246333, 0.005014211565011084
-0.6970871387434308, 0.0037765654504410273
-0.6544405690771029, 0.0026557107469020735
-0.6165325071514784, 0.0018919094851180818
-0.5691474297444477, 0.0013152504128310372
-0.5154443420164792, 0.0008942174944895909
-0.48385429041179195, 0.000674389815797205
-0.4333102078442925, 0.0006848112761204117
-0.400140653659371, 0.0006916503594575074
-0.3530714767683869, 0.0007013553443834808
-0.3274835349685903, 0.0007066312086720927
-0.2805755395683449, 0.0006014981828969534
-0.2482014388489202, 0.0006081732552102315
