x,y
-1.9544846050870148, -0.2464
-1.930388219544846, -0.2336
-1.9089692101740294, -0.22080000000000002
-1.8848728246318607, -0.20800000000000002
-1.8634538152610443, -0.1952
-1.8420348058902276, -0.1824
-1.8179384203480589, -0.1696
-1.7911646586345382, -0.1504
-1.7643908969210174, -0.1376
-1.7349397590361446, -0.12480000000000002
-1.7081659973226238, -0.11199999999999999
-1.6813922356091031, -0.09920000000000001
-1.6572958500669344, -0.08640000000000003
-1.6331994645247656, -0.0736
-1.609103078982597, -0.06719999999999998
-1.5823293172690764, -0.054400000000000004
-1.5555555555555556, -0.041600000000000026
-1.5261044176706826, -0.028799999999999992
-1.502008032128514, -0.02240000000000003
-1.4752342704149934, -0.009599999999999997
-1.4431057563587686, 0.0031999999999999806
-1.4163319946452477, 0.009599999999999997
-1.392235609103079, 0.016000000000000014
-1.3681392235609104, 0.022399999999999975
-1.3413654618473896, 0.028799999999999992
-1.3172690763052208, 0.03520000000000001
-1.2931726907630523, 0.041600000000000026
-1.2690763052208835, 0.04799999999999999
-1.2396251673360106, 0.054400000000000004
-1.215528781793842, 0.06080000000000002
-1.1914323962516735, 0.06719999999999998
-1.1646586345381527, 0.0736
-1.1378848728246318, 0.08000000000000002
-1.108433734939759, 0.08639999999999998
-1.0816599732262384, 0.0928
-1.0548862115127176, 0.09920000000000001
-1.0254350736278446, 0.09920000000000001
-0.99330655957162, 0.10560000000000003
-0.963855421686747, 0.11199999999999999
-0.9344042838018742, 0.11199999999999999
-0.9076305220883534, 0.11199999999999999
-0.8781793842034806, 0.11199999999999999
-0.8487282463186079, 0.11839999999999995
-0.8192771084337349, 0.11839999999999995
-0.7925033467202143, 0.11839999999999995
-0.7603748326639894, 0.11839999999999995
-0.7282463186077643, 0.11199999999999999
-0.6987951807228916, 0.11199999999999999
-0.6639892904953146, 0.11199999999999999
-0.6345381526104419, 0.10560000000000003
-0.607764390896921, 0.10560000000000003
-0.5809906291834004, 0.09920000000000001
-0.5488621151271755, 0.0928
-0.5140562248995983, 0.08639999999999998
-0.4819277108433735, 0.0736
-0.44712182061579653, 0.06719999999999998
-0.423025435073628, 0.054400000000000004
-0.40160642570281135, 0.04799999999999999
-0.3721552878179384, 0.03520000000000001
-0.34538152610441775, 0.022399999999999975
-0.315930388219545, 0.009599999999999997
-0.2838018741633199, -0.009599999999999997
-0.2623828647925035, -0.028799999999999992
-0.23560910307898264, -0.041600000000000026
-0.208835341365462, -0.06080000000000002
-0.18473895582329325, -0.08640000000000003
-0.1606425702811245, -0.10560000000000003
-0.13386880856760386, -0.13119999999999998
-0.101740294511379, -0.1632
-0.101740294511379, -0.1632
-0.07496653279785814, -0.2016
-0.045515394912985396, -0.24000000000000002
-0.021419009370816644, -0.272
