halo_idx,r_scaled,rho_scaled
9,0.0011003054494530783,6678570.15983308
9,0.0013210387147392024,6011160.494099745
9,0.0015860534787928678,4802689.201563549
9,0.001904233092886742,5748408.205728762
9,0.0022862430053776014,4738935.144342466
9,0.002744888269804314,3631704.023323396
9,0.0032955427730067214,3116640.272445114
9,0.003956664571083289,2402987.383798442
9,0.00475041460735845,1776317.3508482822
9,0.005703399551917563,1347313.821767632
9,0.006847563662848714,998043.5266467638
9,0.008221259564569927,725404.3347724819
9,0.009870533835959136,531770.1201686324
9,0.011850670501474531,384059.08158393315
9,0.014228044163416009,278168.8434443721
9,0.017082344892715387,205282.1960580186
9,0.02050924945706801,147987.78941108202
9,0.024623628426541026,109059.59060510737
9,0.029563396659520607,81080.3731585145
9,0.0354941362381063,57842.15246926543
9,0.042614646814730386,41624.34860271511
9,0.05116360941880182,30114.086617835732
9,0.06142758709559115,22259.618027033273
9,0.0737506305604739,16135.911661287179
9,0.0885458108521064,11984.752860873235
9,0.10630906556152198,8596.099577105631
9,0.1276358227656924,6102.078231161722
9,0.1532409599033448,4179.066516958576
9,0.18398276661879706,2778.4792663025055
9,0.2208917148134356,1994.7210561641218
9,0.26520500028308136,1176.090521653032
9,0.3184080137842777,763.5147149996536
9,0.3822841316484654,437.5304181476122
9,0.4589744949360234,245.1132372340443
9,0.5510497809401385,146.8849346502133
9,0.6615963728365803,91.46058901689308
9,0.7943198159043792,55.24907181877026
9,0.9536690281919291,29.592119105334465
9,1.1449854291964723,15.410133069703772
9,1.3746819853820282,7.660092358005529
